,complaintid,buildingid,boroughid,borough,housenumber,streetname,zip,block,lot,apartment,communityboard,receiveddate,statusid,status,statusdate
165,7419341,202634,3,BROOKLYN,22,BAY 37 STREET,11214,6864,52,3D,11,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
166,7419342,43366,1,MANHATTAN,705,WEST 179 STREET,10033,2176,26,BLDG,12,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
167,7419343,112487,2,BRONX,1513,TAYLOR AVENUE,10460,3920,21,7,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-07T00:00:00.000
168,7419345,53832,2,BRONX,30,BUCHANAN PLACE,10453,3196,10,1A,5,2015-04-01T00:00:00.000,2,CLOSE,2015-04-09T00:00:00.000
169,7419346,293371,3,BROOKLYN,9205,FLATLANDS AVENUE,11236,8180,10,TOPFL,18,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
170,7419347,559851,4,QUEENS,259-34,149 ROAD,11422,13698,28,BSMNT,13,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
171,7419348,288358,3,BROOKLYN,234,ECKFORD STREET,11222,2622,51,1L,1,2015-04-01T00:00:00.000,2,CLOSE,2015-04-07T00:00:00.000
172,7419349,362208,3,BROOKLYN,503,RIDGEWOOD AVENUE,11208,4121,7,1FL,5,2015-04-01T00:00:00.000,2,CLOSE,2015-04-12T00:00:00.000
173,7419351,60073,2,BRONX,2144,CROTONA PARKWAY,10460,3119,52,4E,6,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
174,7419352,100520,2,BRONX,392,OLIVER PLACE,10458,3279,13,BLDG,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
175,7419353,91639,2,BRONX,1570,LELAND AVENUE,10460,3927,27,BLDG,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
176,7419354,383872,3,BROOKLYN,751,UNION STREET,11215,953,76,3R,6,2015-04-01T00:00:00.000,2,CLOSE,2015-04-06T00:00:00.000
177,7419355,12559,1,MANHATTAN,217,EAST 22 STREET,10010,903,13,24,6,2015-04-01T00:00:00.000,2,CLOSE,2015-04-11T00:00:00.000
178,7419356,101472,2,BRONX,3273,PARKSIDE PLACE,10467,3355,43,4A,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
179,7419357,55615,2,BRONX,1381,CASTLE HILL AVENUE,10462,3935,53,E11,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
180,7419358,412264,4,QUEENS,18-12,26 AVENUE,11102,886,33,2,1,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
181,7419359,363013,3,BROOKLYN,178,ROCKAWAY PARKWAY,11212,4632,11,4C,17,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
182,7419360,8300,1,MANHATTAN,4523,BROADWAY,10040,2180,633,4C,12,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
183,7419361,221400,3,BROOKLYN,305,CLARKSON AVENUE,11226,4828,75,9,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-05T00:00:00.000
184,7419362,343418,3,BROOKLYN,1122,NEW YORK AVENUE,11203,4917,26,1C,17,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
185,7419364,115715,2,BRONX,2431,TRATMAN AVENUE,10461,3975,40,BLDG,10,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
186,7419365,22786,1,MANHATTAN,174,HESTER STREET,10013,205,18,BLDG,2,2015-04-01T00:00:00.000,2,CLOSE,2015-04-14T00:00:00.000
187,7419366,46071,2,BRONX,733,ARNOW AVENUE,10467,4547,1,BLDG,11,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
188,7419367,376486,3,BROOKLYN,1555,STERLING PLACE,11213,1374,67,BSMT,8,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
189,7419368,376486,3,BROOKLYN,1555,STERLING PLACE,11213,1374,67,BSMT,8,2015-04-01T00:00:00.000,2,CLOSE,2015-04-12T00:00:00.000
190,7419369,217278,3,BROOKLYN,1014,CARROLL STREET,11225,1287,27,BLDG,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-06T00:00:00.000
191,7419370,37341,1,MANHATTAN,16,WEST 101 STREET,10025,1836,43,21,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-06T00:00:00.000
192,7419371,19233,1,MANHATTAN,24,EAST 109 STREET,10029,1614,58,4C,11,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
193,7419372,116852,2,BRONX,1841,DR M L KING JR BOULEVARD,10453,2879,45,5B,5,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
194,7419373,51791,2,BRONX,3940,BRONX BOULEVARD,10466,4819,42,6N,12,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
195,7419374,217278,3,BROOKLYN,1014,CARROLL STREET,11225,1287,27,2A,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-06T00:00:00.000
196,7419375,41494,1,MANHATTAN,137,WEST 141 STREET,10030,2010,6,56,10,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
197,7419376,675959,4,QUEENS,109-11,LIVERPOOL STREET,11435,11947,249,3,12,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
198,7419378,198107,3,BROOKLYN,447,BAINBRIDGE STREET,11233,1505,62,3F,3,2015-04-01T00:00:00.000,2,CLOSE,2015-04-06T00:00:00.000
199,7419379,806031,1,MANHATTAN,16,WEST 102 STREET,10025,1837,21,4B,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
200,7419382,87527,2,BRONX,3351,HULL AVENUE,10467,3348,54,1B,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
201,7419387,102863,2,BRONX,2968,PERRY AVENUE,10458,3292,19,BLDG,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
202,7419389,41668,1,MANHATTAN,541,WEST 142 STREET,10031,2074,7,43,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
