dbn,school_name,school_type,parent_response_rate,teacher_response_rate,student_response_rate,total_safety_and_respect,total_communication_score,total_engagement_score,total_academic_expectations
dbn,locationname,NA,rr_p,rr_t,rr_s,saf_tot_12,com_tot_12,eng_tot_12,aca_tot_12
03M485,Fiorello H. Laguardia High School Of Music & Art A,High School,36%,53%,92%,7.8,6.4,7.0,7.4
03M492,"High School For Law, Advocacy And Community Justic",High School,52%,100%,77%,7.6,6.8,7.2,7.5
03M494,High School Of Arts And Technology,High School,29%,88%,53%,6.8,5.9,6.3,6.5
03M505,Edward A. Reynolds West Side High School,Transfer High School,14%,93%,29%,7.9,6.7,7.5,7.7
03M541,Manhattan / Hunter Science High School,High School,22%,96%,89%,8.4,7.4,7.8,8.2
03M859,Special Music School,Elementary/Middle School,86%,100%,100%,8.7,7.9,8.1,8.3
03M860,Frederick Douglass Academy Ii Secondary School,Middle/High School,49%,82%,80%,7.0,6.7,6.9,7.3
03M862,Mott Hall Ii,Middle School,86%,57%,99%,8.2,6.8,7.5,7.9
04M007,P.S. 007 Samuel Stern,Elementary/Middle School,64%,100%,94%,7.3,6.6,7.1,7.6
04M012,Tag Young Scholars,Elementary/Middle School,55%,100%,99%,8.3,7.8,8.2,8.7
04M013,J.H.S. 013 Jackie Robinson,Middle School,45%,68%,63%,6.8,6.5,6.8,7.0
04M037,River East Elementary,Elementary School,96%,79%,NA,8.4,6.7,7.8,7.9
04M038,P.S. 38 Roberto Clemente,Elementary School,53%,85%,NA,8.0,7.3,7.3,7.6
04M045,M.S. 45/S.T.A.R.S. Prep Academy,Middle School,71%,96%,89%,5.7,5.7,6.0,6.5
04M050,P.S. 050 Vito Marcantonio,Elementary/Middle School,36%,77%,87%,6.6,6.1,6.6,7.0
04M057,James Weldon Johnson,Elementary/Middle School,59%,81%,90%,8.2,7.6,8.0,8.4
04M072,The Lexington Academy,Elementary School,73%,96%,NA,8.8,8.0,8.4,8.5
04M083,P.S. 083 Luis Munoz Rivera,Elementary School,78%,97%,NA,8.2,7.8,8.0,8.1
04M096,P.S. 096 Joseph Lanzetta,Elementary/Middle School,32%,88%,93%,6.8,6.9,7.0,7.5
04M102,P.S. 102 Jacques Cartier,Elementary School,93%,100%,NA,8.3,7.9,8.1,8.1
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,Elementary/Middle School,63%,88%,97%,7.9,7.2,7.7,8.2
04M112,P.S. 112 Jose Celso Barbosa,Early Childhood School,98%,100%,NA,8.2,8.1,8.1,8.4
04M146,P.S. 146 Ann M. Short,Elementary School,54%,100%,NA,7.7,6.6,7.1,7.1
04M155,P.S. 155 William Paca,Elementary School,71%,100%,NA,7.6,7.2,7.3,7.3
04M171,P.S. 171 Patrick Henry,Elementary/Middle School,92%,93%,100%,8.4,7.7,8.0,8.4
04M182,The Bilingual Bicultural School,Elementary School,89%,92%,NA,8.7,8.0,8.1,8.4
04M206,P.S. 206 Jose Celso Barbosa,Elementary School,94%,100%,98%,8.2,7.5,7.9,8.1
04M224,M.S. 224 Manhattan East School For Arts & Academic,Middle School,39%,100%,98%,7.2,7.1,7.3,7.7
04M372,Esperanza Preparatory Academy,Middle School,91%,96%,98%,8.3,7.9,8.2,8.5
04M375,Mosaic Preparatory Academy,Elementary School,69%,100%,NA,8.4,8.1,8.3,8.5
04M377,Renaissance School Of The Arts,Middle School,78%,100%,96%,7.3,7.4,7.7,8.0
04M381,Global Neighborhood Secondary School,Middle School,47%,100%,95%,7.4,6.8,7.5,7.6
04M406,Global Technology Preparatory,Middle School,53%,100%,91%,8.2,8.1,8.7,9.0
04M409,Coalition School For Social Change,High School,18%,75%,67%,7.0,6.9,7.1,7.4
04M435,Manhattan Center For Science And Mathematics,High School,21%,81%,86%,7.5,6.1,6.7,7.1
04M495,Park East High School,High School,30%,96%,89%,8.0,7.0,7.5,7.8
04M497,Central Park East I,Elementary School,62%,65%,NA,8.8,8.6,8.9,8.8
04M555,Central Park East High School,High School,30%,100%,93%,8.1,7.2,7.4,8.1
04M610,Young Women'S Leadership School,Middle/High School,60%,96%,94%,8.4,7.5,7.8,8.5
04M635,Academy Of Environmental Science Secondary High Sc,High School,74%,100%,71%,7.2,6.8,7.1,7.3
04M680,"Heritage School, The",High School,51%,88%,97%,6.9,6.5,6.7,7.0
04M825,Isaac Newton Middle School For Math & Science,Middle School,41%,73%,97%,7.9,7.7,7.9,8.3
04M964,Central Park East Ii,Elementary School,56%,86%,NA,9.1,8.4,9.1,8.9
