project_id,project_name,project_start_date,house_number,street_name,borough,community_board,council_district,reporting_construction_type,extended_affordability_status,prevailing_wage_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,_1_br_units,_2_br_units,_3_br_units,_4_br_units,_5_br_units,_6_br_units,unknown_br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,building_id,postcode,bbl,census_tract,neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,project_completion_date,building_completion_date,bin
69065,301 EAST 117TH STREET,2019-07-31T00:00:00.000,2282,2 AVENUE,Manhattan,MN-11,8.0,New Construction,No,Non Prevailing Wage,0,0,0,0,4,0,0,2,2,0,0,0,0,0,4,0,4,12,980593.0,10035.0,1016890001.0,188.0,MN34,40.797819,-73.937166,40.79765,-73.936928,,,
68850,CONFIDENTIAL,2019-07-31T00:00:00.000,----,----,Brooklyn,BK-14,40.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,2019-07-31T00:00:00.000,2019-07-31T00:00:00.000,
68837,CONFIDENTIAL,2019-07-31T00:00:00.000,----,----,Brooklyn,BK-05,42.0,Preservation,No,Non Prevailing Wage,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,,,,,,,,,,,,
69066,RESIDENCES AT THE GEMINI EAST,2019-07-31T00:00:00.000,114-30,ROCKAWAY BEACH BOULEVARD,Queens,QN-14,32.0,New Construction,No,Non Prevailing Wage,0,0,0,0,9,0,0,6,3,0,0,0,0,0,9,0,9,27,992017.0,11694.0,4161667502.0,938.0,QN10,40.58024,-73.835733,40.58032,-73.836294,,,
68172,AUSTIN 147,2019-07-30T00:00:00.000,880,EAST 147 STREET,Bronx,BX-01,8.0,New Construction,No,Non Prevailing Wage,0,55,24,0,0,0,31,20,28,0,0,0,0,0,79,0,79,80,988798.0,10455.0,2026000103.0,31.0,BX39,40.810326,-73.904325,40.81017,-73.904509,,,
69064,1032 DEKALB AVENUE,2019-07-29T00:00:00.000,1032,DEKALB AVENUE,Brooklyn,BK-03,36.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,7,986936.0,11221.0,3016030010.0,289.0,BK35,40.693398,-73.933691,40.69319,-73.933551,,,
69063,129 TROUTMAN STREET APARTMENTS,2019-07-26T00:00:00.000,129,TROUTMAN STREET,Brooklyn,BK-04,34.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,8,978104.0,11206.0,3031720040.0,425.0,BK78,40.699786,-73.929545,40.69998,-73.929689,,,
69062,127 TROUTMAN STREET APARTMENTS,2019-07-26T00:00:00.000,127,TROUTMAN STREET,Brooklyn,BK-04,34.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,8,381818.0,11206.0,3031720041.0,425.0,BK78,40.69975,-73.929577,40.69992,-73.929746,,,
67522,HSI. 213 EAST 203RD STREET,2019-07-25T00:00:00.000,211,EAST 203 STREET,Bronx,BX-07,11.0,Preservation,No,Non Prevailing Wage,66,21,20,0,0,1,68,21,19,0,0,0,0,0,108,0,108,108,934463.0,10458.0,2033090039.0,413.0,BX05,40.873849,-73.886085,40.87407,-73.886034,,,
69061,170-19 89TH AVENUE,2019-07-25T00:00:00.000,170-19,89 AVENUE,Queens,QN-12,27.0,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,10,497416.0,11432.0,4098240063.0,462.0,QN61,40.709669,-73.790864,40.71,-73.790524,,,
68849,CONFIDENTIAL,2019-07-24T00:00:00.000,----,----,Queens,QN-14,32.0,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,2019-07-24T00:00:00.000,2019-07-24T00:00:00.000,
69060,20-52 49TH STREET APARTMENTS,2019-07-23T00:00:00.000,20-52,49 STREET,Queens,QN-01,22.0,New Construction,No,Non Prevailing Wage,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,2,6,992307.0,11105.0,4007620051.0,135.0,QN72,40.771493,-73.89707,40.77143,-73.897535,,,
67891,EAST HARLEM LEXINGTON HDFC.HUDMF.FY19,2019-07-22T00:00:00.000,2010,LEXINGTON AVENUE,Manhattan,MN-11,9.0,Preservation,Yes,Non Prevailing Wage,23,5,0,3,0,0,0,14,15,1,1,0,0,0,31,0,31,31,24091.0,10035.0,1017710056.0,196.0,MN34,40.802667,-73.938679,40.80297,-73.938729,2019-07-22T00:00:00.000,2019-07-22T00:00:00.000,1076464.0
67891,EAST HARLEM LEXINGTON HDFC.HUDMF.FY19,2019-07-22T00:00:00.000,212,EAST 119 STREET,Manhattan,MN-11,8.0,Preservation,Yes,Non Prevailing Wage,14,9,3,2,0,1,0,5,12,12,0,0,0,0,29,0,29,29,20136.0,10035.0,1017830041.0,188.0,MN34,40.799658,-73.93806,40.79934,-73.937916,2019-07-22T00:00:00.000,2019-07-22T00:00:00.000,1054540.0
67891,EAST HARLEM LEXINGTON HDFC.HUDMF.FY19,2019-07-22T00:00:00.000,125,EAST 119 STREET,Manhattan,MN-11,9.0,Preservation,Yes,Non Prevailing Wage,2,1,1,0,0,0,0,0,1,3,0,0,0,0,4,0,4,4,20123.0,10035.0,1017680011.0,196.0,MN34,40.800848,-73.940873,40.80101,-73.940707,2019-07-22T00:00:00.000,2019-07-22T00:00:00.000,1054367.0
67891,EAST HARLEM LEXINGTON HDFC.HUDMF.FY19,2019-07-22T00:00:00.000,166,EAST 119 STREET,Manhattan,MN-11,8.0,Preservation,Yes,Non Prevailing Wage,14,5,3,2,0,0,0,0,24,0,0,0,0,0,24,0,24,24,20127.0,10035.0,1017670047.0,182.0,MN34,40.800282,-73.939559,40.80013,-73.939804,2019-07-22T00:00:00.000,2019-07-22T00:00:00.000,1054357.0
67891,EAST HARLEM LEXINGTON HDFC.HUDMF.FY19,2019-07-22T00:00:00.000,135,EAST 122 STREET,Manhattan,MN-11,9.0,Preservation,Yes,Non Prevailing Wage,15,4,0,0,1,1,1,1,4,11,4,0,0,0,21,0,21,21,20374.0,10035.0,1017710014.0,196.0,MN34,40.802612,-73.939203,40.80274,-73.938975,2019-07-22T00:00:00.000,2019-07-22T00:00:00.000,1054412.0
