,borough,geographical,admin_district,ats_code,location_name,grade_level,building_code,building_name,address,building_ownership,room_no,area,function,is_school_co_located,inside_v_outside,is_the_space_shared,space_used_for_any
121,M,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - Manhattan,201 Warren Street,DOE Owned,127,688.0,Dance Room,true,Inside,true,False
122,M,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - Manhattan,201 Warren Street,DOE Owned,315,4845.0,Gymnasium,true,Inside,true,False
123,M,2,2,02M089,P.S. 89,Elementary,M089,P.S./I.S. 89 - Manhattan,201 Warren Street,DOE Owned,Outdoor Yard 1,8600.0,Outdoor Yard,true,Outdoor,true,False
124,M,2,2,02M104,J.H.S. 104 Simon Baruch,Junior High-Intermediate-Middle,M104,I.S. 104 - Manhattan,330 East 21 Street,DOE Owned,134,6110.0,Gymnasium,false,Inside,false,False
125,M,2,2,02M158,P.S. 158 Bayard Taylor,Elementary,M158,P.S. 158 - Manhattan,1458 York Avenue,DOE Owned,GYM1,5734.0,Gymnasium,true,Inside,true,False
126,M,2,2,02M104,J.H.S. 104 Simon Baruch,Junior High-Intermediate-Middle,M104,I.S. 104 - Manhattan,330 East 21 Street,DOE Owned,Outdoor Yard 1,6747.0,Outdoor Yard,false,Outdoor,false,False
127,M,2,2,02M111,P.S. 111 Adolph S. Ochs,K-8,M111,P.S. 111 - Manhattan,440 West 53 Street,DOE Owned,GYM,3816.0,Gymnasium,false,Inside,false,False
128,M,2,2,02M111,P.S. 111 Adolph S. Ochs,K-8,M111,P.S. 111 - Manhattan,440 West 53 Street,DOE Owned,Outdoor Yard 1,29809.0,Outdoor Yard,false,Outdoor,false,False
129,M,2,2,02M111,P.S. 111 Adolph S. Ochs,K-8,M111,P.S. 111 - Manhattan,440 West 53 Street,DOE Owned,Outdoor Yard 2,7509.0,Outdoor Yard,false,Outdoor,false,False
130,M,2,2,02M114,East Side Middle School,Junior High-Intermediate-Middle,M114,East Side Middle School - Manhattan,331 East 91St Street,DOE Owned,302,476.0,Weight Room,true,Inside,true,False
131,M,2,2,02M114,East Side Middle School,Junior High-Intermediate-Middle,M114,East Side Middle School - Manhattan,331 East 91St Street,DOE Owned,304,4888.0,Gymnasium,true,Inside,true,False
132,M,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - Manhattan,210 East 33 Street,DOE Owned,GYM,4293.0,Gymnasium,false,Inside,false,False
133,M,2,2,02M116,P.S. 116 Mary Lindley Murray,Elementary,M116,P.S. 116 - Manhattan,210 East 33 Street,DOE Owned,Outdoor Yard 1,15039.0,Outdoor Yard,false,Outdoor,false,False
134,M,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (Ecf) - Manhattan,40 Division Street,DOE Owned,207,2842.0,Gymnasium,false,Inside,false,False
135,M,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (Ecf) - Manhattan,40 Division Street,DOE Owned,Outdoor Yard 1,7134.0,Outdoor Yard,false,Outdoor,false,False
136,M,2,2,02M124,P.S. 124 Yung Wing,Elementary,M124,P.S. 124 (Ecf) - Manhattan,40 Division Street,DOE Owned,Outdoor Yard 2,14854.0,Outdoor Yard,false,Outdoor,false,False
137,M,2,2,02M126,P.S. 126 Jacob August Riis,K-8,M126,P.S. 126 - Manhattan,80 Catherine Street,DOE Owned,207,561.0,Weight Room,false,Inside,false,False
138,M,2,2,02M126,P.S. 126 Jacob August Riis,K-8,M126,P.S. 126 - Manhattan,80 Catherine Street,DOE Owned,GYM,4410.0,Gymnasium,false,Inside,false,False
139,M,2,2,02M126,P.S. 126 Jacob August Riis,K-8,M126,P.S. 126 - Manhattan,80 Catherine Street,DOE Owned,PLAYROM,1674.0,Gymnasium/Cafeteria,false,Inside,false,True
140,M,2,2,02M130,P.S. 130 Hernando De Soto,Elementary,M130,P.S. 130 - Manhattan,143 Baxter Street,DOE Owned,GYM,2950.0,Gymnasium,false,Inside,false,False
141,M,2,2,02M131,M.S. 131,Junior High-Intermediate-Middle,M131,I.S. 131 - Manhattan,100 Hester Street,DOE Owned,106,1720.0,Dance Room,true,Inside,true,False
142,M,2,2,02M131,M.S. 131,Junior High-Intermediate-Middle,M131,I.S. 131 - Manhattan,100 Hester Street,DOE Owned,C40,984.0,Dance Room,true,Inside,true,False
143,M,2,2,02M131,M.S. 131,Junior High-Intermediate-Middle,M131,I.S. 131 - Manhattan,100 Hester Street,DOE Owned,GYM,5220.0,Gymnasium,true,Inside,true,False
144,M,2,2,02M131,M.S. 131,Junior High-Intermediate-Middle,M131,I.S. 131 - Manhattan,100 Hester Street,DOE Owned,Outdoor Yard 1,7998.0,Outdoor Yard,true,Outdoor,true,False
