,report_date,building_id,dob_violations,hpd_violations,fdny_violations,total_open_violations
256,2018-06-30T00:00:00.000,TQ27,8,18,2,28.0
257,2018-06-30T00:00:00.000,TQ28,28,110,3,141.0
258,2018-06-30T00:00:00.000,TQ29,7,49,2,58.0
259,2018-06-30T00:00:00.000,TQ30,6,4,1,11.0
260,2018-06-30T00:00:00.000,TQ31,24,13,0,37.0
261,2018-06-30T00:00:00.000,TQ32,0,1,0,1.0
262,2018-06-30T00:00:00.000,TQ33,12,19,0,31.0
263,2018-06-30T00:00:00.000,TQ34,67,40,0,107.0
264,2018-06-30T00:00:00.000,TQ35,2,3,1,6.0
265,2018-06-30T00:00:00.000,TQ36,11,35,3,49.0
266,2018-06-30T00:00:00.000,TQ37,7,2,0,9.0
267,2018-06-30T00:00:00.000,TQ38,12,8,1,21.0
268,2018-06-30T00:00:00.000,TQ39,2,2,0,4.0
269,2018-06-30T00:00:00.000,TQ40,0,0,3,3.0
270,2018-06-30T00:00:00.000,TQ41,0,4,0,4.0
271,2018-06-30T00:00:00.000,TQ42,11,11,0,22.0
272,2018-06-30T00:00:00.000,TQ43,14,89,10,113.0
273,2018-06-30T00:00:00.000,TQ44,7,23,1,31.0
274,2018-06-30T00:00:00.000,TQ45,70,22,10,102.0
275,2018-06-30T00:00:00.000,TQ46,12,27,0,39.0
276,2018-06-30T00:00:00.000,TQ47,0,0,5,5.0
277,2018-06-30T00:00:00.000,TQ48,3,13,1,17.0
278,2018-06-30T00:00:00.000,TQ49,45,101,2,148.0
279,2018-06-30T00:00:00.000,TQ50,1,0,2,3.0
280,2018-06-30T00:00:00.000,TQ51,30,8,1,39.0
281,2018-06-30T00:00:00.000,TQ52,29,9,0,38.0
282,2018-06-30T00:00:00.000,TQ53,2,6,0,8.0
283,2018-06-30T00:00:00.000,TQ54,2,43,1,46.0
284,2018-06-30T00:00:00.000,TQ55,8,8,0,16.0
285,2018-06-30T00:00:00.000,TQ56,5,32,2,39.0
286,2018-06-30T00:00:00.000,TQ57,11,3,3,17.0
287,2018-06-30T00:00:00.000,TQ58,3,1,0,4.0
288,2018-06-30T00:00:00.000,TQ59,0,0,0,0.0
289,2018-06-30T00:00:00.000,TQ60,0,9,2,11.0
290,2018-06-30T00:00:00.000,TQ61,6,2,2,10.0
291,2018-06-30T00:00:00.000,TQ62,3,12,0,15.0
292,2018-06-30T00:00:00.000,TQ63,2,7,1,10.0
293,2018-06-30T00:00:00.000,TQ64,37,1,1,39.0
294,2018-06-30T00:00:00.000,TQ65,7,16,1,24.0
295,2018-06-30T00:00:00.000,TQ66,2,13,2,17.0
296,2018-06-30T00:00:00.000,TQ67,17,3,0,20.0
297,2018-06-30T00:00:00.000,TQ68,5,0,0,5.0
298,2018-06-30T00:00:00.000,TQ69,1,0,1,2.0
299,2018-06-30T00:00:00.000,TQ70,5,22,3,30.0
300,2018-06-30T00:00:00.000,TQ71,7,93,1,101.0
301,2018-06-30T00:00:00.000,TQ72,0,11,3,14.0
302,2018-06-30T00:00:00.000,TQ73,10,4,1,15.0
303,2018-06-30T00:00:00.000,TQ74,15,23,1,39.0
304,2018-06-30T00:00:00.000,TQ75,3,14,0,17.0
305,2018-06-30T00:00:00.000,TQ76,5,0,0,5.0
306,2018-06-30T00:00:00.000,TQ77,9,0,2,11.0
307,2018-06-30T00:00:00.000,TQ78,0,13,3,16.0
308,2018-06-30T00:00:00.000,TQ79,3,7,1,11.0
309,2018-06-30T00:00:00.000,TQ80,4,48,6,58.0
310,2018-06-30T00:00:00.000,TQ81,0,0,0,0.0
311,2018-06-30T00:00:00.000,TQ82,13,154,3,170.0
312,2018-06-30T00:00:00.000,TQ83,3,61,2,66.0
313,2018-06-30T00:00:00.000,TQ84,1,18,1,20.0
314,2018-06-30T00:00:00.000,TQ85,6,2,2,10.0
315,2018-06-30T00:00:00.000,TQ86,14,22,0,36.0
316,2018-06-30T00:00:00.000,TQ87,2,5,0,7.0
317,2018-06-30T00:00:00.000,TQ88,0,26,4,30.0
318,2018-06-30T00:00:00.000,TQ89,16,30,1,47.0
319,2018-06-30T00:00:00.000,TQ90,13,65,2,80.0
320,2018-06-30T00:00:00.000,TQ91,19,88,1,108.0
321,2018-06-30T00:00:00.000,TQ92,11,33,0,44.0
322,2018-06-30T00:00:00.000,TQ93,2,35,3,40.0
323,2018-06-30T00:00:00.000,TQ94,7,4,0,11.0
324,2018-06-30T00:00:00.000,TQ95,1,10,1,12.0
325,2018-06-30T00:00:00.000,TQ96,3,7,0,10.0
326,2018-06-30T00:00:00.000,TQ97,37,39,1,77.0
327,2018-06-30T00:00:00.000,TQ98,37,44,3,84.0
328,2018-06-30T00:00:00.000,TQ99,0,0,0,0.0
329,2018-06-30T00:00:00.000,TQ100,3,29,0,32.0
330,2018-06-30T00:00:00.000,TQ101,6,26,4,36.0
331,2018-06-30T00:00:00.000,TQ102,13,28,0,41.0
332,2018-06-30T00:00:00.000,TQ103,8,0,0,8.0
333,2018-06-30T00:00:00.000,TQ104,38,32,0,70.0
334,2018-06-30T00:00:00.000,TQ105,16,0,2,18.0
335,2018-06-30T00:00:00.000,TQ106,12,62,6,80.0
336,2018-06-30T00:00:00.000,TQ107,0,3,0,3.0
337,2018-06-30T00:00:00.000,TQ108,1,6,0,7.0
338,2018-06-30T00:00:00.000,TQ109,4,0,2,6.0
339,2018-06-30T00:00:00.000,TQ110,0,0,0,0.0
340,2018-06-30T00:00:00.000,TQ111,1,9,1,11.0
341,2018-06-30T00:00:00.000,TQ112,16,37,0,53.0
342,2018-06-30T00:00:00.000,TQ113,1,9,0,10.0
343,2018-06-30T00:00:00.000,TQ114,17,49,0,66.0
344,2018-06-30T00:00:00.000,TQ115,1,10,0,11.0
345,2018-03-31T00:00:00.000,TQ01,0,2,3,5.0
346,2018-03-31T00:00:00.000,TQ02,2,2,0,4.0
347,2018-03-31T00:00:00.000,TQ03,1,47,4,52.0
348,2018-03-31T00:00:00.000,TQ04,0,4,4,8.0
349,2018-03-31T00:00:00.000,TQ05,13,49,4,66.0
350,2018-03-31T00:00:00.000,TQ06,0,2,9,11.0
351,2018-03-31T00:00:00.000,TQ07,0,1,6,7.0
352,2018-03-31T00:00:00.000,TQ08,33,0,6,39.0
353,2018-03-31T00:00:00.000,TQ09,7,3,0,10.0
354,2018-03-31T00:00:00.000,TQ10,8,13,2,23.0
355,2018-03-31T00:00:00.000,TQ11,19,0,1,20.0
356,2018-03-31T00:00:00.000,TQ12,1,0,0,1.0
357,2018-03-31T00:00:00.000,TQ13,0,8,1,9.0
358,2018-03-31T00:00:00.000,TQ14,7,29,1,37.0
359,2018-03-31T00:00:00.000,TQ15,2,1,0,3.0
360,2018-03-31T00:00:00.000,TQ16,0,0,0,0.0
361,2018-03-31T00:00:00.000,TQ17,31,42,4,77.0
362,2018-03-31T00:00:00.000,TQ18,3,51,0,54.0
363,2018-03-31T00:00:00.000,TQ19,17,8,0,25.0
364,2018-03-31T00:00:00.000,TQ20,3,0,3,6.0
365,2018-03-31T00:00:00.000,TQ21,2,17,3,22.0
366,2018-03-31T00:00:00.000,TQ22,0,3,0,3.0
367,2018-03-31T00:00:00.000,TQ23,2,0,0,2.0
368,2018-03-31T00:00:00.000,TQ24,10,1,1,12.0
369,2018-03-31T00:00:00.000,TQ25,6,9,3,18.0
370,2018-03-31T00:00:00.000,TQ26,6,47,9,62.0
371,2018-03-31T00:00:00.000,TQ27,7,12,2,21.0
372,2018-03-31T00:00:00.000,TQ28,11,110,3,124.0
373,2018-03-31T00:00:00.000,TQ29,7,49,2,58.0
374,2018-03-31T00:00:00.000,TQ30,5,3,2,10.0
375,2018-03-31T00:00:00.000,TQ31,24,13,0,37.0
376,2018-03-31T00:00:00.000,TQ32,0,0,0,0.0
377,2018-03-31T00:00:00.000,TQ33,9,19,0,28.0
378,2018-03-31T00:00:00.000,TQ34,56,40,0,96.0
379,2018-03-31T00:00:00.000,TQ35,0,7,2,9.0
380,2018-03-31T00:00:00.000,TQ36,9,48,3,60.0
381,2018-03-31T00:00:00.000,TQ37,7,2,0,9.0
382,2018-03-31T00:00:00.000,TQ38,6,8,1,15.0
383,2018-03-31T00:00:00.000,TQ39,2,2,0,4.0
384,2018-03-31T00:00:00.000,TQ40,0,0,3,3.0
385,2018-03-31T00:00:00.000,TQ41,0,4,0,4.0
386,2018-03-31T00:00:00.000,TQ42,11,11,0,22.0
387,2018-03-31T00:00:00.000,TQ43,14,71,10,95.0
388,2018-03-31T00:00:00.000,TQ44,4,23,1,28.0
389,2018-03-31T00:00:00.000,TQ45,57,46,7,110.0
390,2018-03-31T00:00:00.000,TQ46,13,27,0,40.0
391,2018-03-31T00:00:00.000,TQ47,0,0,5,5.0
392,2018-03-31T00:00:00.000,TQ48,2,16,0,18.0
393,2018-03-31T00:00:00.000,TQ49,44,101,2,147.0
394,2018-03-31T00:00:00.000,TQ50,1,0,2,3.0
395,2018-03-31T00:00:00.000,TQ51,19,12,1,32.0
396,2018-03-31T00:00:00.000,TQ52,24,12,1,37.0
397,2018-03-31T00:00:00.000,TQ53,2,6,0,8.0
398,2018-03-31T00:00:00.000,TQ54,2,43,1,46.0
399,2018-03-31T00:00:00.000,TQ55,8,8,0,16.0
400,2018-03-31T00:00:00.000,TQ56,4,32,2,38.0
