development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_kwh,kwh_charges,consumption_kw,kw_charges,other_charges
CARVER,MANHATTAN,CARVER,CARVER BLD 05,INTERVAL,,58,534,M005800,FEDERAL,NY005000580P,NEW YORK POWER AUTHORITY,8147418,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1094992,N,1813.31,GOV/NYC/068,Yes,0,0.0,193.73,1813.31,0.0
CARVER,MANHATTAN,CARVER,CARVER BLD 12,INTERVAL,,58,534,M005800,FEDERAL,NY005000580P,NEW YORK POWER AUTHORITY,8147418,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1266723,N,1699.03,GOV/NYC/068,Yes,0,0.0,181.52,1699.03,0.0
CARVER,MANHATTAN,CARVER,CARVER BLD 05,AMR,,58,534,M005800,FEDERAL,NY005000580P,NEW YORK POWER AUTHORITY,8147418,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8094992,N,9612.5,GOV/NYC/068,Yes,95360,0.0,0.0,0.0,9612.5
BROWN,BROOKLYN,BROWN,BLD 02 - Community Center,NONE,Community Center,325,336,K232500,FEDERAL,NY005012520P,NEW YORK POWER AUTHORITY,8147955,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8888116,N,1510.52,GOV/NYC/069,Yes,10880,454.57,28.8,224.93,831.02
CASTLE HILL,BRONX,CASTLE HILL,BLD 04,AMR,,80,431,B008000,MIXED FINANCE/LLC1,NY005020800P,NEW YORK POWER AUTHORITY,8147114,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8322192,N,21818.37,GOV/NYC/068,Yes,264800,10962.72,0.0,0.0,10855.65
CASTLE HILL,BRONX,CASTLE HILL,BLD 10,AMR,,80,431,B008000,MIXED FINANCE/LLC1,NY005020800P,NEW YORK POWER AUTHORITY,8147120,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,9486750,Y,12720.96,GOV/NYC/068,Yes,114200,4727.88,198.0,1853.28,6139.8
BREVOORT,BROOKLYN,BREVOORT,BLD 04,INTERVAL,,65,213,K006500,FEDERAL,NY005000650P,NEW YORK POWER AUTHORITY,8147690,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1889999,N,948.08,GOV/NYC/068,Yes,0,0.0,92.59,948.08,0.0
CHELSEA,MANHATTAN,CHELSEA,BLD 01,AMR,,134,446,M013400,MIXED FINANCE/LLC1,NY005021340P,NEW YORK POWER AUTHORITY,8147570,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8008845,N,28878.62,GOV/NYC/068,Yes,348000,14407.2,0.0,0.0,14471.42
CLAREMONT REHAB (GROUP 2),BRONX,CLAREMONT REHAB (GROUP 2),BLD 03,NONE,,307,330,B030700,FEDERAL,NY005013080P,NEW YORK POWER AUTHORITY,8147286,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,6243553,Y,532.18,GOV/NYC/062,Yes,2016,101.95,0.0,0.0,430.23
CLAREMONT REHAB (GROUP 3),BRONX,CLAREMONT REHAB (GROUP 3),BLD 01,NONE,,308,750,B030800,FEDERAL,NY005013080P,NEW YORK POWER AUTHORITY,8147172,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8807377,Y,89.93,GOV/NYC/069,Yes,1872,78.21,0.0,0.0,11.72
CLAREMONT REHAB (GROUP 3),BRONX,CLAREMONT REHAB (GROUP 3),BLD 03,INTERVAL,,308,750,B030800,FEDERAL,NY005013080P,NEW YORK POWER AUTHORITY,8147177,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1930369,N,0.0,GOV/NYC/062,Yes,0,0.0,3.4,0.0,0.0
CLAREMONT REHAB (GROUP 4),BRONX,CLAREMONT REHAB (GROUP 4),BLD 06,NONE,,335,751,B033500,FEDERAL,NY005013080P,NEW YORK POWER AUTHORITY,8147276,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,6540508,Y,595.87,GOV/NYC/062,Yes,2250,113.78,0.0,0.0,482.09
CLAREMONT REHAB (GROUP 5),BRONX,CLAREMONT REHAB (GROUP 5),BLD 03,NONE,,336,752,B033600,FEDERAL,NY005013080P,NEW YORK POWER AUTHORITY,8147275,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7719769,Y,618.56,GOV/NYC/069,Yes,4560,190.52,11.2,87.47,340.57
CLASON POINT GARDENS,BRONX,CLASON POINT GARDENS,CLASON POINT GARDENS BLD 13,AMR,,11,208,B001100,FEDERAL,NY005012800P,NEW YORK POWER AUTHORITY,8147108,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8096758,N,9355.28,GOV/NYC/068,Yes,64640,2666.68,0.0,0.0,6688.6
COLLEGE AVENUE-EAST 165TH STREET,BRONX,COLLEGE AVENUE-EAST 165TH STREET,BLD 01,NONE,BLD 01,236,351,B023600,FEDERAL,NY005013080P,NEW YORK POWER AUTHORITY,8147066,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,7719778,N,4559.73,GOV/NYC/068,Yes,26400,1092.96,88.0,823.68,2643.09
CONEY ISLAND,BROOKLYN,CONEY ISLAND,BLD 04,NONE,,94,671,K009400,FEDERAL,NY005011700P,NEW YORK POWER AUTHORITY,8147688,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8154817,Y,7133.78,GOV/NYC/068,Yes,57200,2368.08,168.0,1572.48,3193.22
CONEY ISLAND I (SITES 4 & 5),BROOKLYN,CONEY ISLAND I (SITE 4 & 5),BLD 01,NONE,,216,328,K021600,FEDERAL,NY005011700P,NEW YORK POWER AUTHORITY,8147684,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,9297895,Y,13611.31,GOV/NYC/068,Yes,119200,4934.88,240.0,2246.4,6430.03
AMSTERDAM,MANHATTAN,AMSTERDAM,BLD 06,INTERVAL,,22,530,M002200,FEDERAL,NY005010220P,NEW YORK POWER AUTHORITY,8147546,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,1362656,N,1184.61,GOV/NYC/068,Yes,0,0.0,118.61,1184.61,0.0
AMSTERDAM,MANHATTAN,AMSTERDAM,BLD 09,AMR,,22,530,M002200,FEDERAL,NY005010220P,NEW YORK POWER AUTHORITY,8147546,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,8322346,N,3020.78,GOV/NYC/068,Yes,20000,828.4,0.0,0.0,2192.38
