row_id,product_type,product_name,metal,concentration,units,manufacturer,made_in_country,collection_date,deleted
172,Jewelry,Jewelry,Lead,15.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-05-17T00:00:00.000,No
1110,Dietary Supplement/Medications/Remedy,Bo Ying Compound,Mercury,-1.0,ppm,Eu Yan Sang Hong Kong Limited,HONG KONG,2014-04-08T00:00:00.000,No
1195,Food-Spice,Biryani Masala,Lead,0.53,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2014-08-22T00:00:00.000,No
1487,Food-Spice,Coriander,Lead,1.7,ppm,UNKNOWN OR NOT STATED,UNITED STATES,2015-04-29T00:00:00.000,No
818,Jewelry,Mother Theresa Jewelry Charm,Lead,460.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-06-25T00:00:00.000,No
319,Food-Spice,Georgian spice,Lead,2800.0,ppm,UNKNOWN OR NOT STATED,GEORGIA,2011-11-10T00:00:00.000,No
276,Dietary Supplement/Medications/Remedy,Ovarin (Ayurvedic),Lead,6800.0,ppm,Ban Labs Ltd.,INDIA,2011-08-25T00:00:00.000,No
849,Dietary Supplement/Medications/Remedy,Dasamoolarishtam (Ayurvedic),Mercury,-1.0,ppm,Thaikkattu Mooss Vaidyaratnam Oushadhasala (P) Ltd,INDIA,2013-07-17T00:00:00.000,No
1139,Dietary Supplement/Medications/Remedy,Sing-Lin Fritillary Bulb Extract,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,CHINA,2014-06-02T00:00:00.000,No
230,Dietary Supplement/Medications/Remedy,Garbhapal Ras (Ayurvedic),Lead,22000.0,ppm,UNKNOWN OR NOT STATED,INDIA,2011-06-21T00:00:00.000,No
527,Toys/Children's Products,Toy car,Lead,35.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-06-23T00:00:00.000,No
696,Food-Spice,Okra seasoning,Lead,5.5,ppm,UNKNOWN OR NOT STATED,MALI,2013-01-15T00:00:00.000,No
3,Food-Spice,Cumin seeds,Lead,2.8,ppm,UNKNOWN OR NOT STATED,INDIA,2011-01-04T00:00:00.000,No
1203,Food-Spice,Black Pepper,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2014-09-05T00:00:00.000,No
1092,Cosmetics,NeoClear Body Butter,Mercury,-1.0,ppm,UNKNOWN OR NOT STATED,LEBANON,2014-04-01T00:00:00.000,No
135,Food-Spice,Rhizoma simi lacis glabrae,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-04-26T00:00:00.000,No
138,Food-Spice,Almonds,Lead,-1.0,ppm,Yiyuan,UNKNOWN OR NOT STATED,2011-04-26T00:00:00.000,No
1550,Dietary Supplement/Medications/Remedy,Suvarmu Prasan (Ayurvedic),Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2015-10-07T00:00:00.000,No
1070,Jewelry,Peacock bottle charm,Lead,22.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2014-04-01T00:00:00.000,No
