,id,building_code,dbn,location_name,location_code,address,borough,geographical_district_code,register,schools,schools_in_building,major_n,oth_n,nocrim_n,prop_n,vio_n,engroupa,rangea,avgofmajor_n,avgofoth_n,avgofnocrim_n,avgofprop_n,avgofvio_n,geocoded_column,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,building_name
513,1249,Q209,25Q209,PS 209(QUEENS),Q209,16-10 UTOPIA PARKWAY,Q,25,552,1,PS 209(QUEENS),0,0,1,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-73.794796, 40.784002]}",14192,22.0,3.0,20.0,67.0,
514,1138,Q113,24Q113,PS 113 ISAAC CHAUNCEY(QN),Q113,78-23 87th St.,Q,24,890,1,PS 113 ISAAC CHAUNCEY(QN),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-75.059475, 38.404658]}",10331,,,,,
515,654,M028,06M028,PS 28(MANHATTAN),M028,475 WEST 155 STREET,M,6,658,1,PS 28(MANHATTAN),0,3,2,3,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-82.418225, 39.545337]}",18860,,,,,
516,1206,Q176,29Q176,PS 176 CAMBRIA HEIGHTS(QUEENS),Q176,120-45 235 STREET,Q,29,672,1,PS 176 CAMBRIA HEIGHTS(QUEENS),0,0,1,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-81.518679, 41.615667]}",8116,,,,,
517,1063,Q029,25Q029,PS 29(QUEENS),Q029,125-10 23 AVENUE,Q,25,700,1,PS 29(QUEENS),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-99.537665, 37.119381]}",28699,,,,,
518,1053,Q020,25Q020,PS 20(QUEENS),Q020,142-30 BARCLAY AVENUE,Q,25,1196,1,PS 20(QUEENS),1,1,0,2,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,"{'type': 'Point', 'coordinates': [-73.824588, 40.758756]}",14190,22.0,3.0,3.0,67.0,
519,461,K420,19K639,Brooklyn Lab School,K639,999 JAMAICA AVENUE,K,19,319,5,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-80.501816, 27.783609]}",22275,,,,,999 JAMAICA AVENUE CONSOLIDATED LOCATION
520,984,M615,02M615,CHELSEA CAREER & TECHNICAL EDUCATION HS(MS),M615,131 AVENUE OFTHE AMERICAS,M,2,356,2,NYC iSchool |  Chelsea Career and Technical Education High School |  131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-74.004687, 40.724622]}",12076,57.0,4.0,10.0,1.0,131 AVENUE OFTHE AMERICAS CONSOLIDATED LOCATION
521,177,K154,15K154,PS 154(BROOKLYN),K154,1625  11 AVENUE,K,15,505,1,PS 154(BROOKLYN),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-112.011517, 46.589811]}",12483,,,,,
522,913,M446,01M448,UNIVERSITY NEIGHBORHOOD HS(MANHATTAN),M448,200 MONROE STREET,M,1,371,1,UNIVERSITY NEIGHBORHOOD HS(MANHATTAN),0,1,5,1,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,"{'type': 'Point', 'coordinates': [-97.090864, 43.284852]}",22126,,,,,
523,721,M087,03M087,PS 87(MANHATTAN),M087,160 WEST 78 STREET,M,3,873,1,PS 87(MANHATTAN),1,0,2,1,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,"{'type': 'Point', 'coordinates': [-76.499052, 38.977552]}",28576,,,,,
524,14,K012,17K012,Dr. Jacqueline Peek-Davis School,K012,430 HOWARD AVENUE,K,23,256,2,Dr. Jacqueline Peek-Davis School |  Ronald Edmonds Learning Center II |  430 HOWARD AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-76.303068, 40.033895]}",9480,,,,,430 HOWARD AVENUE CONSOLIDATED LOCATION
525,132,K113,84K789,COMPASS CHARTER SCHOOL(BN),K789,300 ADELPHI STREET,K,13,260,2,JHS 113 | Compass Charter School | 300 Adelphi Street Consolidated Location,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,"{'type': 'Point', 'coordinates': [-73.970931, 40.688511]}",17212,68.0,2.0,48.0,55.0,300 ADELPHI STREET CONSOLIDATED LOCATION
526,1001,M661,02M575,MANHATTAN COMPREHENSIVE DAY & NIGHT HS(MS),M575,240 SECOND AVENUE,M,2,529,1,MANHATTAN COMPREHENSIVE DAY & NIGHT HS(MS),1,0,2,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,"{'type': 'Point', 'coordinates': [-76.659491, 39.243874]}",27944,,,,,
