,propid,boro,community_board,council_district,garden_name,address,size,jurisdiction,neighborhoodname,cross_streets,latitude,longitude,postcode,census_tract,bin,bbl,nta
357,NA,Q,Q06,0.0,P.S. 139Q,93-06 63rd Drive,NA,DOE,,,40.72814,-73.863582,11374,693.0,4072457,4030950050,Rego Park                                                                  
358,B442,B,B05,37.0,P.S. 149 - Artsy Bloom Community Garden,365-67 Wyona Street,0.057,DPR,East New York,Developed,40.669564,-73.892328,11207,1158.0,3000000,3037750024,East New York (Pennsylvania Ave)                                           
359,NA,B,B16,37.0,P.S. 155,1355 Herkimer Street,0.689,DOE,,,40.677415,-73.908734,11233,369.0,3042263,3015520043,Ocean Hill                                                                 
360,NA,X,X04,16.0,P.S. 156 Garden,750 Concourse Village West,0.046,DOE,,,40.823174,-73.923326,10451,61.0,2002454,2024430079,East Concourse-Concourse Village                                           
361,NA,B,B12,39.0,P.S. 164 - Stepping Into the New Millenium,4211 14th Avenue,0.069,DOE,,,40.637486,-73.985955,11219,232.0,3135976,3056000001,Borough Park                                                               
362,NA,B,B12,44.0,P.S. 180 - Our Secret Garden,5601-23 16th Avenue  Brooklyn NY 11204,NA,DOE,,,40.627029,-73.989672,11204,470.0,3130809,3054920001,Borough Park                                                               
363,NA,B,B17,45.0,P.S. 181K - Garden Club,1023 New York Avenue,NA,DOE,,,40.648215,-73.946374,11203,856.0,3327776,3049040010,East Flatbush-Farragut                                                     
364,NA,M,M10,9.0,P.S. 185/208M,20 W. 112th Street,NA,DOE,Upper West Side,5th & Lenox Avenue,40.798511,-73.949251,10026,186.0,1051410,1015950015,Central Harlem South                                                       
365,X330,X,X03,16.0,P.S. 186 - Day Treatment Program,745 Jennings Street,0.06,DPR,,Active,40.831804,-73.898396,10459,151.0,2000000,2029620062,Morrisania-Melrose                                                         
366,NA,B,B01,34.0,P.S. 19K - Kid's Garden,"325 South 3rd Street Brooklyn, NY 11211",NA,DOE,Williamsburg,Keap & Rodney,40.709647,-73.95465,11211,527.0,3063188,3024230001,North Side-South Side                                                      
367,NA,Q,Q04,0.0,P.S. 19Q,"99th Street and Roosevelt Avenue.  Queens, NY 11368",NA,DOE,Corona,"98th, 41st Avenue",,,,,,,
368,NA,M,M10,0.0,P.S. 200,2599 7th Avenue.  NY NY 10039,NA,TPL/DOE,Central Harlem,150th St,40.824714,-73.936841,10039,236.0,1060198,1020160100,Central Harlem North-Polo Grounds                                          
369,NA,M,M10,9.0,P.S. 207/149,34 W. 118th Street,NA,DOE,,,40.80247,-73.946716,10026,190.0,1051434,1016010001,Central Harlem South                                                       
370,NA,B,B17,45.0,P.S. 208,"4801 Avenue D  Brooklyn, NY 11234",NA,TPL/DOE,,E 48th & 49th Street,40.642031,-73.931151,11203,840.0,3105680,3047690025,East Flatbush-Farragut                                                     
371,NA,X,X05,0.0,P.S. 226 Garden,1950 Sedgwick Avenue,NA,DOE,,corner of West Burnside & Sedgwick,40.856586,-73.916198,10453,249.0,2096465,2032220100,University Heights-Morris Heights                                          
372,NA,X,X06,15.0,P.S. 23,2175 Washington Avenue,NA,DOE,,,40.853423,-73.894463,10457,395.0,2090472,2030370079,Claremont-Bathgate                                                         
373,NA,B,N/A,0.0,P.S. 235,"525 Lenox Road, Brooklyn NY 11203",NA,DOE,North Flatbush,E 39th st,40.654704,-73.941089,11203,814.0,3107846,3048440001,East Flatbush-Farragut                                                     
374,NA,M,M10,0.0,P.S. 242,"134 West 122nd Street, NY, NY 10027",NA,DOE,Central Harlem,"121st & 122nd, 6th & 7th Avenue",40.8063,-73.948013,10027,220.0,1057683,1019060011,Central Harlem South                                                       
375,NA,B,B08,0.0,P.S. 243 - Weeksville School,1580 Dean Street,NA,DOE,Crown Heights,Troy Avenue & Bergen Street,40.676094,-73.935688,11213,309.0,3035761,3013470001,Crown Heights North                                                        
376,NA,X,X06,15.0,P.S. 246,2641 Grand Concourse,NA,DOE,,,40.865593,-73.894758,10468,401.0,2013830,2031680027,Bedford Park-Fordham North                                                 
377,NA,B,B11,44.0,P.S. 247K,7000 21st Avenue,0.04,DOE,,,40.612273,-73.986713,11204,258.0,3157466,3061740036,Bensonhurst West                                                           
378,NA,B,B14,40.0,P.S. 249,18 Marlborough Road,NA,DOE,,,40.64971,-73.966046,11226,506.0,3116438,3050750001,Flatbush                                                                   
379,NA,B,B01,34.0,P.S. 250,108 Montrose Avenue,0.005,DOE,,,40.707104,-73.945475,11206,505.0,3071199,3030600001,East Williamsburg                                                          
380,NA,B,B17,41.0,P.S. 268,133 E. 53rd Street,0.035,DOE,,,40.657131,-73.928018,11203,866.0,3100292,3046230028,Rugby-Remsen Village                                                       
381,NA,B,B06,0.0,P.S. 27 / M.S. 826,27 Huntington Street Brooklyn. NY 11231,NA,DOE,,Hicks Street & Columbia Street,40.677564,-74.005166,11231,59.0,3008342,3005250001,Carroll Gardens-Columbia Street-Red Hook                                   
382,NA,X,X01,8.0,P.S. 30X,S/E/C Brook Avenue & E. 141 Street,0.207,DOE,,,,,,,,,
383,NA,B,B14,45.0,P.S. 315K,2310 Glenwood  Rd.,NA,DOE,,,40.633232,-73.954655,11210,772.0,3205780,3075510026,Flatbush                                                                   
