record_number,nyc_borough_block_and_lot_bbl,co_reported_bbl_status,bbls_co_reported,reported_nyc_building_identificaiton_numbers_bins,street_number,street_name,borough,zip_code,dof_benchmarking_submission_status,site_eui_kbtu_ft2,weather_normalized_site_eui_kbtu_ft2,source_eui_kbtu_ft2,weather_normalized_source_eui_kbtu_ft2,municipally_supplied_potable_water_indoor_intensity_gal_ft,automatic_water_benchmarking_eligible,reported_water_method,energy_star_score,total_ghg_emissions_mtco2e,direct_ghg_emissions_mtco2e,indirect_ghg_emissions_mtco2e,reported_property_floor_area_building_s_ft,dof_property_floor_area_buildngs_and_parking_ft2,primary_property_type_self_selected,dof_number_of_buildings,latitude,longitude,community_board,community_council,census_tract,bin,nta
14384,4026020200.0,,,,57-10,49 STREET,Queens,11378.0,No Submission Matched to BBL,,,,,,Yes,None,,,,,,87810.0,,1.0,,,,,,,
151,1000680011.0,,1-00068-0011,1001112,75,MAIDEN LANE,Manhattan,10038.0,Filed,,Not Available,,Not Available,Not Available,No,None,Not Available,,101.8,,155026,155026.0,Office,1.0,40.707657,-74.007758,1.0,1.0,1502.0,1001112.0,Battery Park City-Lower Manhattan                                          
152,1000680016.0,,1000680016,1001113,84,WILLIAM STREET      ,Manhattan,10038.0,Filed,,Not Available,,Not Available,Not Available,,None,Not Available,,0,,116743,111184.0,Multifamily Housing,1.0,40.708028000000006,-74.00793900000001,1.0,1.0,1502.0,1001113.0,Battery Park City-Lower Manhattan                                          
154,1000687501.0,,1000687501,1001115,80,JOHN STREET,Manhattan,10038.0,Filed,83.3,83,163.6,163.4,Not Available,No,None,Not Available,951.8,106.8,845,143531,149564.0,Multifamily Housing,1.0,40.708445000000005,-74.006886,1.0,1.0,1502.0,1001115.0,Battery Park City-Lower Manhattan                                          
158,1000690032.0,,1000690032,1001126,116,JOHN STREET,Manhattan,10038.0,Filed,51.6,51.6,121.1,121.1,Not Available,No,None,96,1247.8,356.6,891.2,342310,338463.0,Office,1.0,40.707605,-74.00572,1.0,1.0,1502.0,1001126.0,Battery Park City-Lower Manhattan                                          
159,1000697502.0,,1-00069-7502,1001127,90,JOHN STREET,Manhattan,10038.0,Filed,65.1,64.7,133,131.9,Not Available,No,None,Not Available,2282.8,0,2282.8,410482,372364.0,Multifamily Housing,1.0,40.708172999999995,-74.00646400000001,1.0,1.0,1502.0,1001127.0,Battery Park City-Lower Manhattan                                          
160,1000697502.0,,1-00069-7502,1001127,90,JOHN STREET,Manhattan,10038.0,Filed,44.4,44.4,139.5,139.5,Not Available,No,None,Not Available,1365.5,0,1365.5,377672,372364.0,Multifamily Housing,1.0,40.708172999999995,-74.00646400000001,1.0,1.0,1502.0,1001127.0,Battery Park City-Lower Manhattan                                          
161,1000700043.0,,1-00070-0043,1001135,160,WATER STREET,Manhattan,10038.0,Filed,113.5,113.6,238.2,238.3,Not Available,No,None,75,4755.3,0,4755.3,491442,481858.0,Office,1.0,40.706452,-74.00559399999999,1.0,1.0,1502.0,1001135.0,Battery Park City-Lower Manhattan                                          
163,1000710001.0,,1-00071-0001,1001136,156,FRONT STREET,Manhattan,10038.0,Filed,111.1,108.4,165.2,162.5,29.8,Yes,ABS,Not Available,499.9,379.9,120,59340,52969.0,Multifamily Housing,1.0,40.705829,-74.005482,1.0,1.0,1502.0,1001136.0,Battery Park City-Lower Manhattan                                          
164,1000717501.0,,1000717501,1001137;1804058,175,WATER STREET,Manhattan,10038.0,Filed,86,Not Available,230.4,Not Available,Not Available,No,None,62,3626.9,44.7,3582.2,510858,580000.0,Office,1.0,40.706699,-74.005208,1.0,1.0,1502.0,1001137.0,Battery Park City-Lower Manhattan                                          
165,1000720013.0,,1000720013,1001139,163,FRONT STREET,Manhattan,10038.0,Filed,50.9,Not Available,57.4,Not Available,0.69,No,Manual,Not Available,222,208.5,13.5,58500,58500.0,Non-Refrigerated Warehouse,1.0,40.706084000000004,-74.005049,1.0,1.0,1502.0,1001139.0,Battery Park City-Lower Manhattan                                          
14810,1000730010.0,,1-00073-10,1001158,,,Manhattan,,Not on Covered Buildings List,659.1,659.5,1598.3,1600.2,168.75,,None,Not Available,4408.4,961.6,3446.8,91406,,Retail Store,,,,,,,,
