,dbn,district,school,principal,_school_support_organization,progress_report_type,school_level_,peer_index_,overall_grade,overall_score,environment_category_score,environment_grade,performance_category_score,performance_grade,progress_category_score,progress_grade,additional_credit,_progress_report_grade,_quality_review_score,_federal_accountability_status
533,10X246,10.0,P.S. 246 POE CENTER,Beverly  Miller,ESO,ESMS,Elementary School,64.89,B,56.4,6.3,C,9.1,C,36.5,A,4.5,B,Proficient,Restructuring - Year 3
534,10X254,10.0,I.S. 254,Wilford Hemans,AED,ESMS,Middle School,2.69,A,66.8,7.0,B,19.4,A,34.4,B,6.0,A,Well Developed,In Need of Improvement - Year 2
535,10X268,10.0,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,Ronald Newlon,ESO,HS,High School,1.65,,,,,,,,,,,,
536,,,,,,,,,,,,,,,,,2.0,,Proficient,In Good Standing
537,10X276,10.0,LEADERSHIP INSTITUTE,Marta Colon,New Visions,HS,High School,2.0,,,,,,,,,,,,
538,,,,,,,,,,,,,,,,,3.0,,Proficient,In Good Standing
539,10X279,10.0,P.S. 279 CAPTAIN MANUEL RIVERA JR.,James Waslawski,ESO,ESMS,K-8,62.46,C,44.7,6.5,C,13.2,C,23.5,C,1.5,A,Well Developed,Restructuring - Year 2
540,10X280,10.0,P.S. 280 MOSHOLU PARKWAY,James Weeks,ESO,ESMS,K-8,51.65,B,58.7,8.7,B,19.0,A,28.0,B,3.0,A,Well Developed,In Good Standing
541,10X284,10.0,BRONX SCHOOL OF LAW AND FINANCE,Evan  Schwartz,New Visions,HS,High School,2.39,A,64.7,9.3,A,18.6,A,32.8,B,4.0,A,Well Developed,In Good Standing
542,10X291,10.0,P.S. 291,Carlos Velez,ESO,ESMS,Elementary School,65.08,A,62.2,11.5,A,18.4,A,30.8,B,1.5,D,Well Developed,In Need of Improvement - Year 1
543,,,,,,,,,,,,,,,,,1.0,,,
544,,,,,,,,,,,,,,,,,,,,In Good Standing
545,10X306,10.0,P.S. 306,Cynthia G. Riley,ICI,ESMS,Elementary School,66.14,B,58.1,7.7,B,15.1,B,31.5,B,3.75,B,Well Developed,Restructuring - Year 4
546,10X307,10.0,P.S. X307 - EAMES PLACE,Luisa Fuentes,ESO,ESMS,Elementary School,60.64,B,56.7,13.3,A,21.8,A,21.6,C,0.0,A,Well Developed,In Good Standing
547,10X308,10.0,BRONX DANCE ACADEMY SCHOOL,Sandra Sanchez,ESO,ESMS,Middle School,2.96,B,58.1,8.3,B,18.5,A,29.0,B,2.25,A,Proficient,In Good Standing
