,borough,neighborhood,type_of_home,number_of_sales,lowest_sale_price,average_sale_price,median_sale_price,highest_sale_price,year
168,BROOKLYN,BRIGHTON BEACH,01 ONE FAMILY HOMES,3,230400,420967,397500,635000,2010
169,BROOKLYN,BRIGHTON BEACH,02 TWO FAMILY HOMES,15,166666,506881,465000,1150000,2010
170,BROOKLYN,BRIGHTON BEACH,03 THREE FAMILY HOMES,5,375000,624799,500000,1100000,2010
171,BROOKLYN,BROOKLYN HEIGHTS,01 ONE FAMILY HOMES,17,1500000,3189913,2750000,6200000,2010
172,BROOKLYN,BROOKLYN HEIGHTS,02 TWO FAMILY HOMES,6,2080000,3766838,3977000,5242027,2010
173,BROOKLYN,BROOKLYN HEIGHTS,03 THREE FAMILY HOMES,1,3100000,3100000,3100000,3100000,2010
174,BROOKLYN,BROWNSVILLE,01 ONE FAMILY HOMES,18,245000,282621,283000,333500,2010
175,BROOKLYN,BROWNSVILLE,02 TWO FAMILY HOMES,25,155000,394288,400000,883200,2010
176,BROOKLYN,BROWNSVILLE,03 THREE FAMILY HOMES,6,197735,344206,325000,542500,2010
177,BROOKLYN,BUSH TERMINAL,02 TWO FAMILY HOMES,4,410000,480000,452500,605000,2010
178,BROOKLYN,BUSHWICK,01 ONE FAMILY HOMES,9,166000,265778,240000,495000,2010
179,BROOKLYN,BUSHWICK,02 TWO FAMILY HOMES,97,175000,388300,385000,730002,2010
180,BROOKLYN,BUSHWICK,03 THREE FAMILY HOMES,91,155000,428597,430000,843833,2010
181,BROOKLYN,CANARSIE,01 ONE FAMILY HOMES,55,150000,349889,370000,583328,2010
182,BROOKLYN,CANARSIE,02 TWO FAMILY HOMES,161,160457,430365,450500,628000,2010
183,BROOKLYN,CANARSIE,03 THREE FAMILY HOMES,21,360000,506554,570000,620000,2010
184,BROOKLYN,CARROLL GARDENS,01 ONE FAMILY HOMES,1,1550000,1550000,1550000,1550000,2010
185,BROOKLYN,CARROLL GARDENS,02 TWO FAMILY HOMES,11,488000,1346727,1040000,3235000,2010
186,BROOKLYN,CARROLL GARDENS,03 THREE FAMILY HOMES,18,484000,1204333,1160000,2200000,2010
187,BROOKLYN,CLINTON HILL,01 ONE FAMILY HOMES,3,824782,996834,980000,1185721,2010
188,BROOKLYN,CLINTON HILL,02 TWO FAMILY HOMES,13,300000,902372,860000,1330000,2010
189,BROOKLYN,CLINTON HILL,03 THREE FAMILY HOMES,7,380042,748420,700000,1225000,2010
190,BROOKLYN,COBBLE HILL,01 ONE FAMILY HOMES,5,999000,2369800,2900000,3200000,2010
191,BROOKLYN,COBBLE HILL,02 TWO FAMILY HOMES,9,1300000,2447789,2700000,3920000,2010
192,BROOKLYN,COBBLE HILL,03 THREE FAMILY HOMES,6,1442000,2214500,1910000,3800000,2010
193,BROOKLYN,COBBLE HILL-WEST,01 ONE FAMILY HOMES,2,1125000,1157500,1157500,1190000,2010
194,BROOKLYN,COBBLE HILL-WEST,02 TWO FAMILY HOMES,1,1600000,1600000,1600000,1600000,2010
195,BROOKLYN,COBBLE HILL-WEST,03 THREE FAMILY HOMES,2,950500,1015250,1015250,1080000,2010
196,BROOKLYN,CONEY ISLAND,01 ONE FAMILY HOMES,10,156500,329750,351500,395000,2010
197,BROOKLYN,CONEY ISLAND,03 THREE FAMILY HOMES,2,200000,269000,269000,338000,2010
198,BROOKLYN,CROWN HEIGHTS,01 ONE FAMILY HOMES,30,150000,481968,485230,820000,2010
199,BROOKLYN,CROWN HEIGHTS,02 TWO FAMILY HOMES,85,159500,463816,450000,1030000,2010
200,BROOKLYN,CROWN HEIGHTS,03 THREE FAMILY HOMES,28,175000,646222,455000,5666375,2010
201,BROOKLYN,CYPRESS HILLS,01 ONE FAMILY HOMES,18,152000,267060,261239,380000,2010
202,BROOKLYN,CYPRESS HILLS,02 TWO FAMILY HOMES,87,151000,382229,380000,850000,2010
203,BROOKLYN,CYPRESS HILLS,03 THREE FAMILY HOMES,16,257500,427781,415000,600000,2010
204,BROOKLYN,DOWNTOWN-FULTON FERRY,02 TWO FAMILY HOMES,1,995000,995000,995000,995000,2010
205,BROOKLYN,DOWNTOWN-FULTON MALL,02 TWO FAMILY HOMES,1,15344118,15344118,15344118,15344118,2010
206,BROOKLYN,DOWNTOWN-METROTECH,03 THREE FAMILY HOMES,1,705000,705000,705000,705000,2010
207,BROOKLYN,DYKER HEIGHTS,01 ONE FAMILY HOMES,55,275000,617194,615000,1685000,2010
208,BROOKLYN,DYKER HEIGHTS,02 TWO FAMILY HOMES,61,150000,694816,700000,999000,2010
209,BROOKLYN,DYKER HEIGHTS,03 THREE FAMILY HOMES,11,270000,777955,820000,1035000,2010
