,uniqueid,dateofbite,species,breed,age,gender,spayneuter,borough,zipcode
229,230,2015-04-30T00:00:00.000,DOG,,,U,False,Brooklyn,
230,231,2015-05-12T00:00:00.000,DOG,Bloodhound,4,M,True,Brooklyn,11231.0
231,232,2015-05-12T00:00:00.000,DOG,Jack Russ,10,M,True,Brooklyn,11215.0
232,233,2015-05-14T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11211.0
233,234,2015-05-14T00:00:00.000,DOG,"Cocker Spaniel, American",10,M,True,Brooklyn,11220.0
234,235,2015-05-09T00:00:00.000,DOG,Siberian Husky,,U,False,Brooklyn,
235,236,2015-05-14T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,6,M,False,Brooklyn,11232.0
236,237,2015-05-12T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,
237,238,2015-04-28T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,1,M,True,Brooklyn,11234.0
238,239,2015-05-15T00:00:00.000,DOG,Cocker Spaniel Crossbreed,,M,False,Brooklyn,11205.0
239,240,2015-05-18T00:00:00.000,DOG,American Staffordshire Terrier,2,M,False,Brooklyn,11211.0
240,241,2015-05-18T00:00:00.000,DOG,American Staffordshire Terrier,2,M,False,Brooklyn,11211.0
241,242,2015-05-17T00:00:00.000,DOG,,,U,False,Brooklyn,
242,243,2015-01-08T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,1,M,True,Brooklyn,11224.0
243,244,2015-05-12T00:00:00.000,DOG,Cane Corso,5,F,True,Brooklyn,11233.0
244,245,2015-05-05T00:00:00.000,DOG,TERRIER,,U,False,Brooklyn,
245,246,2015-05-17T00:00:00.000,DOG,,,U,False,Brooklyn,11226.0
246,247,2015-05-18T00:00:00.000,DOG,,,U,False,Brooklyn,
247,248,2015-05-16T00:00:00.000,DOG,BORDER COLLIE/JACK RUSSELL,11M,F,True,Brooklyn,
248,249,2015-05-06T00:00:00.000,DOG,CORGI,,M,False,Brooklyn,11222.0
249,250,2015-05-21T00:00:00.000,DOG,Shih Tzu,,U,False,Brooklyn,11229.0
250,251,2015-05-21T00:00:00.000,DOG,,,U,False,Brooklyn,11233.0
251,252,2015-05-20T00:00:00.000,DOG,MUTT,1,F,True,Brooklyn,11201.0
252,253,2015-05-24T00:00:00.000,DOG,MIXED,2,M,True,Brooklyn,
253,254,2015-05-24T00:00:00.000,DOG,PIT BULL/LAB X,2,F,False,Brooklyn,11236.0
254,255,2015-05-24T00:00:00.000,DOG,PIT BULL/LAB X,2,F,False,Brooklyn,11236.0
255,256,2015-05-24T00:00:00.000,DOG,Labrador Retriever,,U,False,Brooklyn,11215.0
256,257,2015-05-24T00:00:00.000,DOG,,1,M,False,Brooklyn,11207.0
257,258,2015-05-22T00:00:00.000,DOG,,,U,False,Brooklyn,
258,259,2015-05-25T00:00:00.000,DOG,Labrador Retriever,3,F,False,Brooklyn,11234.0
259,260,2015-05-25T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,
260,261,2015-05-17T00:00:00.000,DOG,,,U,False,Brooklyn,11226.0
261,262,2015-05-23T00:00:00.000,DOG,"Mastiff, Tibetan",1,M,True,Brooklyn,11214.0
262,263,2015-05-23T00:00:00.000,DOG,MALTESE MIX,4,M,True,Brooklyn,
263,264,2015-05-24T00:00:00.000,DOG,SCHNAUZER,,M,False,Brooklyn,11215.0
264,265,2015-05-18T00:00:00.000,DOG,,,U,False,Brooklyn,11220.0
265,266,2015-05-23T00:00:00.000,DOG,,,U,False,Brooklyn,
266,267,2015-05-27T00:00:00.000,DOG,,,U,False,Brooklyn,11226.0
267,268,2015-05-28T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,11237.0
268,269,2015-05-24T00:00:00.000,DOG,Pit Bull,,U,False,Brooklyn,11221.0
269,270,2015-05-23T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,6,M,True,Brooklyn,11205.0
270,271,2015-05-28T00:00:00.000,DOG,American Pit Bull Terrier/Pit Bull,,U,False,Brooklyn,11213.0
271,272,2015-05-28T00:00:00.000,DOG,American Pit Bull Mix / Pit Bull Mix,3,M,False,Brooklyn,11236.0
272,273,2015-05-26T00:00:00.000,DOG,Saint Bernard,,U,False,Brooklyn,11214.0
273,274,2015-05-28T00:00:00.000,DOG,Chihuahua,,U,False,Brooklyn,11208.0
