,x,y,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,combination_of_primary_and,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,geocoded_column,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,age,primary_fur_color,highlight_fur_color,location,above_ground_sighter,other_interactions,other_activities,color_notes,specific_location,:@computed_region_efsh_h5xi
349,-73.9707471099503,40.7759255131734,13E-AM-1017-08,13E,AM,10172018,8,Gray+Cinnamon,False,False,False,False,True,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9707471099503, 40.7759255131734]}",19,4,19,13,Adult,Gray,Cinnamon,Ground Plane,FALSE,,,,,
350,-73.9713330594434,40.7771924214236,14D-AM-1014-10,14D,AM,10142018,10,"Gray+Cinnamon, White",False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9713330594434, 40.7771924214236]}",19,4,19,13,Adult,Gray,"Cinnamon, White",Ground Plane,FALSE,,,,,
351,-73.970540988328,40.7698103067062,7H-AM-1006-06,07H,AM,10062018,6,Gray+Cinnamon,False,True,False,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.970540988328, 40.7698103067062]}",19,4,19,13,Adult,Gray,Cinnamon,Above Ground,12,,,,,
352,-73.9740007759509,40.7650077086539,1H-PM-1013-01,01H,PM,10132018,1,Gray+,False,False,False,True,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9740007759509, 40.7650077086539]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
353,-73.9566751022336,40.799035789744,41C-PM-1007-04,41C,PM,10072018,4,Gray+White,False,False,True,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9566751022336, 40.799035789744]}",19,4,19,13,Adult,Gray,White,Above Ground,65,,,,,
354,-73.9639635134738,40.7900337598704,29B-PM-1010-05,29B,PM,10102018,5,"Gray+Cinnamon, White",False,False,False,True,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9639635134738, 40.7900337598704]}",19,4,19,13,Adult,Gray,"Cinnamon, White",Ground Plane,FALSE,,,,,
355,-73.9761036400144,40.7705482684594,6D-PM-1020-03,06D,PM,10202018,3,Gray+,False,True,False,False,False,False,False,False,False,True,False,False,True,"{'type': 'Point', 'coordinates': [-73.9761036400144, 40.7705482684594]}",19,4,19,13,Juvenile,Gray,,Ground Plane,FALSE,,,,,
356,-73.9724801784201,40.7790131966689,15B-PM-1017-05,15B,PM,10172018,5,Gray+White,False,False,False,True,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9724801784201, 40.7790131966689]}",19,4,19,13,Adult,Gray,White,Ground Plane,FALSE,,,,,
357,-73.9635658786416,40.7777291777901,18I-AM-1017-03,18I,AM,10172018,3,Cinnamon+Black,False,False,False,False,True,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9635658786416, 40.77772917779011]}",19,4,19,13,Adult,Cinnamon,Black,Ground Plane,FALSE,,,,,
358,-73.9716404781264,40.7753181851766,12D-PM-1014-02,12D,PM,10142018,2,Gray+White,False,False,True,False,False,False,False,False,False,False,False,True,False,"{'type': 'Point', 'coordinates': [-73.9716404781264, 40.7753181851766]}",19,4,19,13,Adult,Gray,White,Above Ground,15,,seems to be grinding teeth on a piece of material (sounds from grinding),,,
359,-73.9672054610151,40.7876519923501,26A-PM-1006-05,26A,PM,10062018,5,Gray+,False,True,False,False,False,False,False,False,False,True,False,False,False,"{'type': 'Point', 'coordinates': [-73.9672054610151, 40.7876519923501]}",19,4,19,13,Adult,Gray,,Above Ground,40,,,,,
360,-73.9614824437251,40.7912929799884,32C-PM-1013-03,32C,PM,10132018,3,Gray+,False,True,False,False,False,False,False,False,False,True,False,False,False,"{'type': 'Point', 'coordinates': [-73.9614824437251, 40.7912929799884]}",19,4,19,13,Adult,Gray,,Ground Plane,FALSE,,,,,
361,-73.9571407991577,40.7931917396406,35E-PM-1006-02,35E,PM,10062018,2,"Gray+Cinnamon, White",False,False,False,False,True,False,False,False,False,False,True,False,False,"{'type': 'Point', 'coordinates': [-73.9571407991577, 40.7931917396406]}",19,4,19,13,Adult,Gray,"Cinnamon, White",Ground Plane,FALSE,begging for food,,,,
362,-73.9707197274481,40.7773956803431,14D-PM-1019-12,14D,PM,10192018,12,Gray+,False,False,False,False,False,False,False,False,False,False,False,False,False,"{'type': 'Point', 'coordinates': [-73.9707197274481, 40.7773956803431]}",19,4,19,13,Adult,Gray,,,,,,,,
363,-73.9623696148045,40.792184861375,32B-AM-1017-04,32B,AM,10172018,4,Gray+Cinnamon,False,False,True,False,False,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9623696148045, 40.792184861375]}",19,4,19,13,Adult,Gray,Cinnamon,Above Ground,13,,,,,
364,-73.9576035072364,40.7966120824816,38C-AM-1019-01,38C,AM,10192018,1,Gray+White,True,False,False,False,False,False,False,False,False,False,False,False,True,"{'type': 'Point', 'coordinates': [-73.9576035072364, 40.7966120824816]}",19,4,19,13,Juvenile,Gray,White,Ground Plane,FALSE,runs from (lawnmower),,,,
