,bn,school_year,start_date,overall_rating,indicator_1_1,indicator_1_2,indicator_1_3,indicator_1_4,indicator_1_5,indicator_1_6,indicator_1_7,indicatoroverall_1,indicator_2_1,indicator_2_2,indicator_2_3,indicator_2_4,indicator_2_5,indicator_2_6,indicator_2_7,indicatoroverall_2,indicator_3_1,indicator_3_2,indicator_3_3,indicator_3_4,indicator_3_5,indicator_3_6,indicator_3_7,indicator_3_8,indicatoroverall_3,indicator_4_1,indicator_4_2,indicator_4_3,indicator_4_4,indicator_4_5,indicator_4_6,indicator_4_7,indicatoroverall_4,indicator_5_1,indicator_5_2,indicator_5_3,indicator_5_4,indicator_5_5,indicator_5_6,indicator_5_7,indicatoroverall_5
743,M690,2006-07-01T00:00:00.000,2007-02-08T00:00:00.000,U,U,U,P,U,No Data,No Data,No Data,U,P,U,P,U,U,No Data,No Data,U,U,U,P,P,P,U,P,U,U,P,P,P,U,P,P,U,P,U,U,U,U,No Data,No Data,No Data,U
744,X442,2006-07-01T00:00:00.000,2007-02-08T00:00:00.000,P,P,U,P,U,No Data,No Data,No Data,P,U,P,P,P,P,No Data,No Data,P,P,P,P,P,U,P,WD,WD,P,P,U,P,P,P,P,P,P,U,P,U,U,No Data,No Data,No Data,U
745,X520,2006-07-01T00:00:00.000,2007-02-08T00:00:00.000,P,P,P,P,U,No Data,No Data,No Data,P,P,U,P,P,P,No Data,No Data,U,P,U,P,P,P,P,P,P,P,P,P,P,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
746,X301,2006-07-01T00:00:00.000,2007-02-09T00:00:00.000,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,P,P,No Data,No Data,P,P,P,WD,P,P,P,WD,P,P,P,P,P,P,WD,P,P,P,U,WD,P,U,No Data,No Data,No Data,P
747,K011,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,P,P,U,P,P,No Data,No Data,No Data,P,P,P,P,WD,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,WD,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
748,K027,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,U,U,U,U,U,No Data,No Data,No Data,U,U,U,P,U,U,No Data,No Data,U,U,U,U,U,U,P,P,U,U,P,U,U,U,P,P,P,U,U,U,U,U,No Data,No Data,No Data,U
749,K029,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
750,K036,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,P,P,P,WD,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,P,P,P,P,WD,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
751,K046,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,U,P,U,U,U,No Data,No Data,No Data,U,P,P,U,P,U,No Data,No Data,P,P,U,P,P,P,P,P,P,P,P,P,U,U,P,P,WD,P,U,P,U,U,No Data,No Data,No Data,U
752,K077,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,WD,WD,P,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,P,P,WD,WD,No Data,No Data,No Data,P
753,K147,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,P,WD,WD,P,No Data,No Data,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,No Data,No Data,No Data,P
754,K443,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,WD,P,WD,P,P,P,P,P,P,P,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
755,M079,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,P,P,P,P,U,No Data,No Data,No Data,P,P,U,P,WD,WD,No Data,No Data,P,P,P,P,P,P,P,WD,P,P,P,P,U,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
756,M311,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
757,M318,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,WD,P,No Data,No Data,P,P,P,P,P,P,WD,WD,WD,P,P,P,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
758,M531,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,P,P,U,P,U,No Data,No Data,No Data,P,P,P,U,P,P,No Data,No Data,P,P,P,P,P,P,U,P,P,P,P,P,P,P,P,P,WD,P,P,P,P,P,No Data,No Data,No Data,P
759,M600,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
760,M964,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,P,P,P,P,U,No Data,No Data,No Data,P,P,U,WD,WD,P,No Data,No Data,P,WD,P,WD,WD,WD,WD,WD,WD,WD,P,WD,P,P,WD,WD,WD,P,P,U,P,P,No Data,No Data,No Data,P
761,Q009,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,P,P,U,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,WD,WD,P,P,P,P,P,P,No Data,No Data,No Data,P
762,Q255,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
763,X168,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,P,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
764,X188,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
765,X243,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,P,P,U,U,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,WD,P,WD,P,P,P,P,P,P,WD,P,P,P,P,P,P,P,No Data,No Data,No Data,P
766,X293,2006-07-01T00:00:00.000,2007-02-12T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,WD,P,P,P,P,No Data,No Data,P,WD,P,WD,WD,P,P,WD,P,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,P,No Data,No Data,No Data,P
767,K321,2006-07-01T00:00:00.000,2007-02-13T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,P,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,P,No Data,No Data,No Data,P
768,M183,2006-07-01T00:00:00.000,2007-02-13T00:00:00.000,P,P,P,WD,P,No Data,No Data,No Data,P,P,P,WD,WD,WD,No Data,No Data,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,P,P,WD,P,No Data,No Data,No Data,P
769,M194,2006-07-01T00:00:00.000,2007-02-13T00:00:00.000,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,P,P,P,P,No Data,No Data,P,WD,P,P,P,P,P,P,P,P,P,P,P,P,WD,P,WD,P,P,P,P,P,No Data,No Data,No Data,P
770,K010,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,P,WD,WD,P,No Data,No Data,No Data,P
771,K020,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,P,P,U,U,P,No Data,No Data,No Data,P,P,U,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,U,P,P,P,P,P,P,P,P,P,U,P,P,U,No Data,No Data,No Data,U
772,K056,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,P,No Data,No Data,WD,WD,P,WD,P,WD,P,WD,P,P,P,P,WD,WD,WD,P,WD,WD,P,WD,WD,P,No Data,No Data,No Data,P
773,K146,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,P,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
774,K172,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
775,K230,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,P,P,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
776,K257,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,WD,WD,WD,P,P,P,P,WD,P,P,WD,P,P,P,P,P,No Data,No Data,No Data,P
777,K340,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,U,P,P,U,P,No Data,No Data,No Data,P,U,U,U,P,U,No Data,No Data,U,P,U,U,U,U,U,WD,WD,U,U,U,U,U,WD,P,P,U,U,U,U,U,No Data,No Data,No Data,U
778,K420,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,U,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,U,P,P,P,P,P,WD,P,P,P,P,U,U,U,No Data,No Data,No Data,U
779,M210,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,P,WD,WD,P,No Data,No Data,P,WD,P,P,P,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,U,P,P,P,No Data,No Data,No Data,P
780,M292,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
781,M314,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,P,WD,P,U,P,No Data,No Data,No Data,P,P,P,WD,P,WD,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
782,Q151,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,P,WD,WD,P,P,P,P,P,P,P,WD,P,WD,WD,P,P,P,P,WD,P,No Data,No Data,No Data,P
783,X221,2006-07-01T00:00:00.000,2007-02-14T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,U,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,WD,P,WD,P,P,P,P,P,No Data,No Data,No Data,P
784,M363,2006-07-01T00:00:00.000,2007-02-15T00:00:00.000,P,WD,P,P,U,No Data,No Data,No Data,P,U,P,WD,P,P,No Data,No Data,P,WD,P,WD,P,P,P,WD,WD,P,WD,WD,P,P,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
785,X237,2006-07-01T00:00:00.000,2007-02-15T00:00:00.000,P,P,P,U,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,WD,P,U,P,P,P,P,P,P,P,P,WD,WD,WD,P,U,P,P,P,No Data,No Data,No Data,P
786,K003,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,P,P,P,WD,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,U,U,WD,P,P,P,WD,WD,P,P,P,P,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
787,K005,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,P,P,P,P,P,No Data,No Data,P,P,U,P,P,P,U,P,P,P,P,P,P,P,P,P,P,P,WD,WD,P,P,No Data,No Data,No Data,P
788,K140,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,P,U,P,P,No Data,No Data,No Data,P,P,P,P,WD,WD,No Data,No Data,P,P,P,WD,WD,P,WD,WD,P,P,P,P,P,P,WD,WD,WD,P,P,P,P,WD,No Data,No Data,No Data,P
789,M555,2007-08-01T00:00:00.000,2008-01-17T00:00:00.000,P,P,WD,WD,P,P,WD,P,P,P,WD,P,P,P,P,P,P,WD,WD,WD,P,WD,WD,WD,No Data,WD,WD,WD,WD,WD,WD,P,WD,WD,P,P,P,P,P,P,P,P
790,K231,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,P,P,U,U,No Data,No Data,No Data,P,U,P,P,P,P,No Data,No Data,P,P,U,P,P,P,P,P,P,P,P,P,P,U,WD,P,WD,P,U,P,P,U,No Data,No Data,No Data,U
791,K502,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,WD,P,P,U,No Data,No Data,No Data,P,P,U,P,P,P,No Data,No Data,P,P,U,P,P,P,P,P,P,P,P,P,U,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
792,M542,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,WD,WD,P,WD,No Data,No Data,WD,P,P,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
793,M625,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,WD,WD,WD,P,P,P,P,P,WD,P,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
794,X022,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,U,P,WD,P,P,No Data,No Data,P,P,P,WD,WD,P,P,P,WD,P,P,P,WD,WD,WD,P,P,P,U,P,P,P,No Data,No Data,No Data,P
795,X064,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,P,P,P,U,No Data,No Data,No Data,P,U,U,WD,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,WD,P,P,P,WD,P,WD,WD,WD,WD,U,P,U,U,No Data,No Data,No Data,U
796,X250,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,WD,P,WD,WD,No Data,No Data,No Data,WD,P,WD,WD,P,P,No Data,No Data,P,WD,P,WD,WD,WD,P,P,P,P,WD,WD,P,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
797,X279,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,U,No Data,No Data,P,P,P,P,WD,P,P,P,P,P,P,P,P,P,WD,WD,P,P,U,P,U,U,No Data,No Data,No Data,U
798,X291,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,WD,WD,WD,No Data,No Data,WD,P,P,WD,WD,P,P,WD,P,P,WD,WD,WD,WD,WD,WD,P,WD,P,P,WD,P,No Data,No Data,No Data,P
799,X543,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,P,P,U,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,U,P,P,P,U,P,P,P,P,P,P,P,WD,P,P,P,P,P,P,P,No Data,No Data,No Data,P
800,X549,2006-07-01T00:00:00.000,2007-02-26T00:00:00.000,P,P,P,WD,P,No Data,No Data,No Data,P,P,P,WD,WD,P,No Data,No Data,P,P,WD,P,P,P,P,WD,P,P,WD,WD,WD,P,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
801,K507,2006-07-01T00:00:00.000,2007-02-27T00:00:00.000,P,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,WD,P,P,P,No Data,No Data,P,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,P,No Data,No Data,No Data,P
802,Q228,2006-07-01T00:00:00.000,2007-02-27T00:00:00.000,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
803,X016,2006-07-01T00:00:00.000,2007-02-27T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
804,X284,2006-07-01T00:00:00.000,2007-02-27T00:00:00.000,P,WD,P,WD,P,No Data,No Data,No Data,P,P,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,P,WD,P,P,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,No Data,No Data,No Data,P
805,K025,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,P,WD,WD,WD,WD,No Data,No Data,No Data,WD,U,P,P,U,P,No Data,No Data,P,P,U,P,P,P,U,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
806,K038,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,P,P,WD,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
807,K084,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,P,P,P,P,U,No Data,No Data,No Data,P,U,U,P,P,P,No Data,No Data,P,P,U,P,P,P,P,P,WD,P,P,P,P,P,WD,WD,WD,P,U,P,P,U,No Data,No Data,No Data,U
808,K131,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,No Data,No Data,No Data,WD
809,K132,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,P,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
810,K250,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,WD,WD,WD,P,WD,No Data,No Data,No Data,WD,P,WD,WD,WD,WD,No Data,No Data,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,WD,P,No Data,No Data,No Data,P
811,X007,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,P,P,P,P,U,No Data,No Data,No Data,P,P,P,P,U,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
812,X009,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,P,WD,P,P,WD,No Data,No Data,No Data,WD,P,P,P,P,P,No Data,No Data,P,WD,WD,WD,WD,WD,WD,WD,P,WD,P,WD,P,WD,WD,WD,P,WD,P,WD,WD,P,No Data,No Data,No Data,P
813,X011,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,WD,P,P,No Data,No Data,P,P,U,WD,WD,WD,P,WD,P,P,P,P,P,P,WD,WD,P,P,U,U,U,U,No Data,No Data,No Data,U
814,X028,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,P,P,P,P,U,No Data,No Data,No Data,P,U,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,WD,WD,P,P,P,P,P,P,WD,WD,P,U,P,P,P,No Data,No Data,No Data,P
815,X055,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,P,WD,P,P,P,No Data,No Data,No Data,P,P,P,P,U,P,No Data,No Data,P,P,P,WD,WD,WD,P,P,WD,P,P,P,P,P,WD,P,WD,P,U,P,P,P,No Data,No Data,No Data,P
816,X058,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,P,P,P,P,P,P,P,P,WD,P,WD,P,WD,WD,WD,WD,U,P,P,P,No Data,No Data,No Data,P
817,X154,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,P,WD,WD,P,P,No Data,No Data,No Data,P,WD,P,WD,WD,WD,No Data,No Data,WD,P,P,P,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,P,WD,P,P,WD,P,No Data,No Data,No Data,P
818,X205,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,WD,WD,P,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,WD,No Data,No Data,No Data,WD
819,X405,2006-07-01T00:00:00.000,2007-02-28T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,WD,P,P,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
820,M605,2006-07-01T00:00:00.000,2007-03-01T00:00:00.000,P,WD,P,WD,U,No Data,No Data,No Data,P,WD,P,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,WD,WD,WD,WD,P,P,P,P,No Data,No Data,No Data,P
821,Q259,2006-07-01T00:00:00.000,2007-03-01T00:00:00.000,P,P,U,P,U,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,No Data,No Data,No Data,P
822,X002,2006-07-01T00:00:00.000,2007-03-01T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,P,P,P,U,U,No Data,No Data,P,WD,P,WD,WD,WD,P,P,P,P,P,WD,WD,P,WD,P,P,P,P,P,P,P,No Data,No Data,No Data,P
823,X063,2006-07-01T00:00:00.000,2007-03-01T00:00:00.000,P,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,WD,WD,WD,P,No Data,No Data,WD,WD,P,WD,WD,WD,P,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,P,P,No Data,No Data,No Data,P
824,M079,2007-08-01T00:00:00.000,2008-03-06T00:00:00.000,WD,O,O,O,O,O,P,WD,WD,O,O,O,WD,O,P,O,WD,WD,WD,O,WD,O,O,WD,No Data,WD,WD,WD,WD,WD,O,WD,O,WD,O,O,O,O,O,O,O,O
825,X207,2006-07-01T00:00:00.000,2007-03-01T00:00:00.000,P,WD,WD,P,P,No Data,No Data,No Data,P,WD,WD,WD,WD,P,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,P,WD,WD,No Data,No Data,No Data,P
826,X541,2006-07-01T00:00:00.000,2007-03-01T00:00:00.000,U,U,U,U,U,No Data,No Data,No Data,U,U,U,P,U,U,No Data,No Data,U,U,U,U,U,U,U,P,P,U,U,U,U,U,P,P,P,U,U,U,U,U,No Data,No Data,No Data,U
827,K113,2006-07-01T00:00:00.000,2007-03-02T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,U,P,P,P,P,No Data,No Data,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,U,P,P,P,No Data,No Data,No Data,P
828,K050,2006-07-01T00:00:00.000,2007-03-05T00:00:00.000,U,P,P,U,U,No Data,No Data,No Data,P,U,U,P,U,U,No Data,No Data,U,P,P,P,P,P,P,U,P,P,P,U,P,U,P,P,P,P,U,P,U,U,No Data,No Data,No Data,U
829,K058,2006-07-01T00:00:00.000,2007-03-05T00:00:00.000,P,P,P,P,P,No Data,No Data,No Data,P,U,P,WD,WD,WD,No Data,No Data,P,P,U,P,P,P,WD,P,WD,P,P,P,WD,P,WD,WD,WD,P,U,P,P,P,No Data,No Data,No Data,P
830,K258,2006-07-01T00:00:00.000,2007-03-05T00:00:00.000,P,P,P,U,P,No Data,No Data,No Data,P,P,P,P,P,P,No Data,No Data,P,P,P,WD,WD,WD,P,P,WD,P,P,P,WD,P,WD,WD,WD,P,P,P,P,P,No Data,No Data,No Data,P
831,K499,2006-07-01T00:00:00.000,2007-03-05T00:00:00.000,WD,P,WD,WD,WD,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,No Data,No Data,No Data,WD
832,K811,2006-07-01T00:00:00.000,2007-03-05T00:00:00.000,U,P,U,U,U,No Data,No Data,No Data,U,U,U,U,P,U,No Data,No Data,U,U,U,P,P,P,U,P,P,U,P,P,U,U,P,P,WD,P,U,U,U,U,No Data,No Data,No Data,U
833,M565,2006-07-01T00:00:00.000,2007-03-05T00:00:00.000,WD,WD,WD,WD,P,No Data,No Data,No Data,WD,WD,WD,WD,WD,WD,No Data,No Data,WD,WD,P,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,WD,P,WD,WD,No Data,No Data,No Data,WD
834,M721,2006-07-01T00:00:00.000,2007-03-05T00:00:00.000,P,P,P,P,U,No Data,No Data,No Data,P,P,U,P,P,U,No Data,No Data,P,P,U,P,P,P,P,P,P,P,P,P,P,U,P,P,WD,P,P,P,P,P,No Data,No Data,No Data,P
