,nyc_cooling_tower,bin,address,borough,zip,intended_use,make,model,serial_number,cooling_capacity,cooling_capacity_1,date_registered,latitude,longitude,deleted,location_1,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,date_commissioned,community_board,council_district,census_tract,bbl,nta
161,1000000437,3335094,470 VANDERBILT AVE,BROOKLYN,11238,NULL,MARLEY,NC8411TAN2BGF,10040082-A2-NC8411BG-11,785.0,REFRIGERATION TONS,2015-08-19T00:00:00.000,40.682596,-73.968232,No,"{'latitude': '40.682596', 'longitude': '-73.968232'}",13829.0,68,2,48,55,,2.0,35.0,199.0,3020090001.0,Clinton Hill                                                               
162,1000000187,4536901,1 AVIATION PLAZA,QUEENS,11434,BASE BUILDING HVAC,MARLEY,NC4223C2,NC4223CS 137859-001-98,350.0,,2015-08-17T00:00:00.000,40.663409,-73.778335,No,"{'latitude': '40.663409', 'longitude': '-73.778335'}",24669.0,63,3,47,63,2000-01-01T00:00:00.000,,,,4142600090.0,                                                                           
163,1000000286,1035334,120 PARK AVE,MANHATTAN,10017,NULL,BALTIMORE AIRCOIL COMPANY (BAC),CFT2422B,80-2070D,1130.0,,2015-08-18T00:00:00.000,40.751928,-73.978305,No,"{'latitude': '40.751928', 'longitude': '-73.978305'}",10353.0,11,4,51,8,,5.0,4.0,82.0,1012760033.0,Murray Hill-Kips Bay                                                       
164,1000000384,1036195,730 THIRD AVENUE,MANHATTAN,10017,AIR CONDITIONING,MARLEY,MHF705K124G-1BSB-10,1000019944-a-1,270.0,REFRIGERATION TONS,2015-08-19T00:00:00.000,40.753132,-73.973352,No,"{'latitude': '40.753132', 'longitude': '-73.973352'}",12079.0,71,4,51,9,2010-04-01T00:00:00.000,6.0,4.0,92.0,1013000033.0,Turtle Bay-East Midtown                                                    
165,1000000574,1002002,34 LEONARD ST.,MANHATTAN,10013,NULL,BALTIMORE AIRCOIL COMPANY (BAC),VTL 079,U083878302,17500.0,,2015-08-20T00:00:00.000,40.718156,-74.007439,Yes,"{'latitude': '40.718156', 'longitude': '-74.007439'}",12076.0,56,4,32,1,,1.0,1.0,33.0,1001790032.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
166,1000000075,1082757,253 BROADWAY,MANHATTAN,10007,NULL,BALTIMORE AIRCOIL COMPANY (BAC),VTL-079,U094926102,,,2015-08-12T00:00:00.000,40.713432,-74.007409,No,"{'latitude': '40.713432', 'longitude': '-74.007409'}",11728.0,56,4,32,1,,1.0,1.0,21.0,1001347501.0,SoHo-TriBeCa-Civic Center-Little Italy                                     
167,1000000427,4210455,87-50 167TH STREET,QUEENS,11432,NULL,BALTIMORE AIRCOIL COMPANY (BAC),33235,V091370302/V001370301,270.0,REFRIGERATION TONS,2015-08-19T00:00:00.000,40.710054,-73.796277,No,"{'latitude': '40.710054', 'longitude': '-73.796277'}",24340.0,25,3,24,65,2015-08-10T00:00:00.000,8.0,24.0,454.0,4098380062.0,Briarwood-Jamaica Hills                                                    
168,1000000097,1023455,118 W 57TH ST,MANHATTAN,10019,NULL,COOL WATER TECHNOLOGIES,RTA 240-4,RTA 350-2,1600.0,REFRIGERATION TONS,2015-08-13T00:00:00.000,40.764241,-73.978496,No,"{'latitude': '40.764241', 'longitude': '-73.978496'}",12081.0,11,4,51,10,,5.0,4.0,137.0,1010090019.0,Midtown-Midtown South                                                      
169,1000000352,1015451,130 5TH AVE,MANHATTAN,10011,NULL,BALTIMORE AIRCOIL COMPANY (BAC),NULL,V083125201,425.0,REFRIGERATION TONS,2015-08-19T00:00:00.000,40.738818,-73.992047,No,"{'latitude': '40.738818', 'longitude': '-73.992047'}",12074.0,11,4,10,7,,5.0,3.0,54.0,1008200038.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
170,1000000046,1001394,1 CENTRE STREET,MANHATTAN,10007,NULL,EVAPCO,USS-29-821,T030296,555.53,REFRIGERATION TONS,2015-08-12T00:00:00.000,40.712974,-74.003676,No,"{'latitude': '40.712974', 'longitude': '-74.003676'}",11728.0,56,4,32,2,,1.0,1.0,29.0,1001210001.0,Chinatown                                                                  
171,1000000272,1000025,90 BROAD STREET,MANHATTAN,10004,NULL,EVAPCO,AT-12-45,970313,18000000.0,BTU/HR,2015-08-18T00:00:00.000,40.703806,-74.011952,No,"{'latitude': '40.703806', 'longitude': '-74.011952'}",11725.0,56,4,32,1,1997-06-01T00:00:00.000,1.0,1.0,9.0,1000100016.0,Battery Park City-Lower Manhattan                                          
