report_date,building_id,dob_violations,hpd_violations,fdny_violations,total_open_violations
2018-06-30T00:00:00.000,TQ79,3,7,1,11.0
2018-06-30T00:00:00.000,TQ80,4,48,6,58.0
2018-06-30T00:00:00.000,TQ81,0,0,0,0.0
2018-06-30T00:00:00.000,TQ82,13,154,3,170.0
2018-06-30T00:00:00.000,TQ83,3,61,2,66.0
2018-06-30T00:00:00.000,TQ84,1,18,1,20.0
2018-06-30T00:00:00.000,TQ85,6,2,2,10.0
2018-06-30T00:00:00.000,TQ86,14,22,0,36.0
2018-06-30T00:00:00.000,TQ87,2,5,0,7.0
2018-06-30T00:00:00.000,TQ88,0,26,4,30.0
2018-06-30T00:00:00.000,TQ89,16,30,1,47.0
2018-06-30T00:00:00.000,TQ90,13,65,2,80.0
2018-06-30T00:00:00.000,TQ91,19,88,1,108.0
2018-06-30T00:00:00.000,TQ92,11,33,0,44.0
2018-06-30T00:00:00.000,TQ93,2,35,3,40.0
2018-06-30T00:00:00.000,TQ94,7,4,0,11.0
2018-06-30T00:00:00.000,TQ95,1,10,1,12.0
2018-06-30T00:00:00.000,TQ96,3,7,0,10.0
2018-06-30T00:00:00.000,TQ97,37,39,1,77.0
2018-06-30T00:00:00.000,TQ98,37,44,3,84.0
2018-06-30T00:00:00.000,TQ99,0,0,0,0.0
2018-06-30T00:00:00.000,TQ100,3,29,0,32.0
2018-06-30T00:00:00.000,TQ101,6,26,4,36.0
2018-06-30T00:00:00.000,TQ102,13,28,0,41.0
2018-06-30T00:00:00.000,TQ103,8,0,0,8.0
2018-06-30T00:00:00.000,TQ104,38,32,0,70.0
2018-06-30T00:00:00.000,TQ105,16,0,2,18.0
2018-06-30T00:00:00.000,TQ106,12,62,6,80.0
2018-06-30T00:00:00.000,TQ107,0,3,0,3.0
2018-06-30T00:00:00.000,TQ108,1,6,0,7.0
2018-06-30T00:00:00.000,TQ109,4,0,2,6.0
2018-06-30T00:00:00.000,TQ110,0,0,0,0.0
2018-06-30T00:00:00.000,TQ111,1,9,1,11.0
2018-06-30T00:00:00.000,TQ112,16,37,0,53.0
2018-06-30T00:00:00.000,TQ113,1,9,0,10.0
2018-06-30T00:00:00.000,TQ114,17,49,0,66.0
2018-06-30T00:00:00.000,TQ115,1,10,0,11.0
2018-03-31T00:00:00.000,TQ01,0,2,3,5.0
2018-03-31T00:00:00.000,TQ02,2,2,0,4.0
2018-03-31T00:00:00.000,TQ03,1,47,4,52.0
2018-03-31T00:00:00.000,TQ04,0,4,4,8.0
2018-03-31T00:00:00.000,TQ05,13,49,4,66.0
2018-03-31T00:00:00.000,TQ06,0,2,9,11.0
2018-03-31T00:00:00.000,TQ07,0,1,6,7.0
2018-03-31T00:00:00.000,TQ08,33,0,6,39.0
2018-03-31T00:00:00.000,TQ09,7,3,0,10.0
2018-03-31T00:00:00.000,TQ10,8,13,2,23.0
2018-03-31T00:00:00.000,TQ11,19,0,1,20.0
2018-03-31T00:00:00.000,TQ12,1,0,0,1.0
2018-03-31T00:00:00.000,TQ13,0,8,1,9.0
2018-03-31T00:00:00.000,TQ14,7,29,1,37.0
2018-03-31T00:00:00.000,TQ15,2,1,0,3.0
2018-03-31T00:00:00.000,TQ16,0,0,0,0.0
2018-03-31T00:00:00.000,TQ17,31,42,4,77.0
2018-03-31T00:00:00.000,TQ18,3,51,0,54.0
2018-03-31T00:00:00.000,TQ19,17,8,0,25.0
2018-03-31T00:00:00.000,TQ20,3,0,3,6.0
2018-03-31T00:00:00.000,TQ21,2,17,3,22.0
2018-03-31T00:00:00.000,TQ22,0,3,0,3.0
2018-03-31T00:00:00.000,TQ23,2,0,0,2.0
2018-03-31T00:00:00.000,TQ24,10,1,1,12.0
2018-03-31T00:00:00.000,TQ25,6,9,3,18.0
