,tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp,council_district,census_tract,bin,bbl
218,200406,408850,2015-09-03,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2024 RICHMOND AVENUE,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5027301,New York,40.59837239,-74.16253586,939113.2481,157321.4754,50.0,29103.0,5107349.0,5021000450.0
219,189459,219493,2015-08-30,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Helpful,Damage,Volunteer,WiresRope,No,No,No,Yes,No,No,No,No,No,71 WAVERLY AVENUE,11205,Brooklyn,302,3,Brooklyn,35,50,25,BK69,Clinton Hill,3019100,New York,40.69543462,-73.96835285,993025.7498,192643.622,35.0,191.0,3054365.0,3018890036.0
220,189460,219493,2015-08-30,4,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,77 WAVERLY AVENUE,11205,Brooklyn,302,3,Brooklyn,35,50,25,BK69,Clinton Hill,3019100,New York,40.69528272,-73.96832203,993034.3154,192588.2809,35.0,191.0,3054362.0,3018890033.0
221,189709,223525,2015-08-30,13,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,3or4,Helpful,NoDamage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,209 LINCOLN PLACE,11217,Brooklyn,306,3,Brooklyn,39,52,21,BK37,Park Slope-Gowanus,3015900,New York,40.67530269,-73.9733763,991634.976,185308.512,39.0,159.0,3024466.0,3010590061.0
222,208761,107164,2015-09-08,14,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,1or2,Harmful,NoDamage,Volunteer,RootOther,No,No,Yes,No,No,No,No,No,No,327 EAST 64 STREET,10065,New York,108,1,Manhattan,5,76,28,MN31,Lenox Hill-Roosevelt Island,1011000,New York,40.76307992,-73.96064456,995152.1826,217289.7771,5.0,118.0,1044693.0,1014390014.0
223,190395,107488,2015-08-30,9,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,honeylocust,3or4,Harmful,NoDamage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,203 EAST 72 STREET,10021,New York,108,1,Manhattan,4,76,28,MN31,Lenox Hill-Roosevelt Island,1012600,New York,40.76963905,-73.96012717,995294.4231,219679.5492,4.0,126.0,1085194.0,1014270001.0
224,187234,218941,2015-08-29,18,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,125 FT GREENE PLACE,11217,Brooklyn,302,3,Brooklyn,35,57,25,BK68,Fort Greene,3003500,New York,40.68606021,-73.97628864,990826.081,189227.5524,35.0,35.0,3059242.0,3021130012.0
225,205785,106342,2015-09-06,10,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,Harmful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,268 WEST 73 STREET,10023,New York,107,1,Manhattan,6,67,29,MN14,Lincoln Square,1015900,New York,40.78017187,-73.9833793,988853.059,223514.9333,6.0,159.0,1030532.0,1011640059.0
226,201410,102977,2015-09-04,3,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,212 FORSYTH STREET,10002,New York,103,1,Manhattan,1,65,26,MN27,Chinatown,1003601,New York,40.72311463,-73.9903307,986930.1807,202726.8479,1.0,3601.0,1005616.0,1004220046.0
227,208760,107164,2015-09-08,17,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,Harmful,NoDamage,Volunteer,RootOther,No,No,Yes,No,No,No,No,No,No,340 EAST 64 STREET,10065,New York,108,1,Manhattan,5,76,28,MN31,Lenox Hill-Roosevelt Island,1011000,New York,40.76299829,-73.96045231,995205.4535,217260.0586,5.0,110.0,1044390.0,1014387501.0
